outcome,repr,learner,mean,sd,vs_late
death_30d_inhosp,cca,rf,0.8837488772571003,0.007862564945068259,0.0003205624554775133
death_30d_inhosp,cca,catboost,0.8859881686127544,0.008345623820350194,0.0025598538111316627
death_30d_inhosp,cca_aug,l2,0.8855994672778518,0.009571744281588197,0.00217115247622901
death_30d_inhosp,cca_aug,plain,0.8049756868089324,0.015012232149022763,-0.07845262799269037
death_30d_inhosp,cca_aug,ridge_var,0.8855994672778518,0.009571744281588197,0.00217115247622901
death_30d_inhosp,cca_aug,gb,0.8883327655093382,0.013031572882030554,0.004904450707715391
death_30d_inhosp,cca_aug,rf,0.9095193111778734,0.006573380353966303,0.026090996376250675
death_30d_inhosp,cca_aug,catboost,0.9014711803512251,0.005986506404735288,0.018042865549602327
death_30d,late,l2,0.8822642728205855,0.0026610799449442767,0.0
death_30d,coop_r0.0,l2,0.8595184582168265,0.003915845080947626,-0.022745814603759018
death_30d,coop_r0.5,l2,0.8632614235656391,0.0049427049838104906,-0.01900284925494644
death_30d,coop_r1.0,l2,0.8721781757689449,0.004431942455508045,-0.010086097051640652
death_30d,coop_r2.0,l2,0.8797844476692742,0.0033327978760770726,-0.002479825151311288
death_30d,coop_r5.0,l2,0.8839486072275511,0.002683111923590512,0.001684334406965582
death_30d,raw74,l2,0.8827044915584187,0.004344940101503705,0.00044021873783317567
death_30d,raw74,plain,0.8497973666513291,0.0064314894603068155,-0.032466906169256404
death_30d,raw74,ridge_var,0.8827044915584187,0.004344940101503705,0.00044021873783317567
death_30d,raw74,gb,0.891577000672495,0.006723859697419591,0.009312727851909508
death_30d,raw74,rf,0.8875429157965525,0.003720391350330277,0.0052786429759670295
death_30d,raw74,catboost,0.8951279510140516,0.006663965125647654,0.012863678193466122
death_30d,pca8,l2,0.8795570381906346,0.0030617736167760146,-0.0027072346299509276
death_30d,pca8,plain,0.8804905673733762,0.0022955150689963236,-0.0017737054472093394
death_30d,pca8,ridge_var,0.8789031253318231,0.0026117655291528733,-0.0033611474887623727
death_30d,pca8,gb,0.864465720454465,0.005810982400290322,-0.01779855236612049
death_30d,pca8,rf,0.8697589636498778,0.0025232288006317464,-0.01250530917070769
death_30d,pca8,catboost,0.8764290517821116,0.005419563531343851,-0.005835221038473892
death_30d,spca,l2,0.8595839379888861,0.007684023269767695,-0.0226803348316994
death_30d,spca,plain,0.8591999079743744,0.006800286158692004,-0.023064364846211105
death_30d,spca,ridge_var,0.859260963437511,0.007052368962598104,-0.02300330938307449
death_30d,spca,gb,0.8515830177326302,0.006618749624090529,-0.030681255087955273
death_30d,spca,rf,0.8616040774431033,0.006378679321528043,-0.020660195377482204
death_30d,spca,catboost,0.860827168796234,0.008724218131994262,-0.021437104024351505
death_30d,lol8,l2,0.881335610377659,0.0013190229522450456,-0.0009286624429265533
death_30d,lol8,plain,0.8808029235833363,0.0015443138863857448,-0.0014613492372491654
death_30d,lol8,ridge_var,0.881335610377659,0.0013190229522450456,-0.0009286624429265533
death_30d,lol8,gb,0.8736974834530846,0.005253634075621253,-0.008566789367500882
death_30d,lol8,rf,0.8716578770396064,0.003092690991968849,-0.010606395780979105
death_30d,lol8,catboost,0.8745097865713376,0.005077116085251493,-0.007754486249247905
death_30d,cca,l2,0.8813754291579656,0.005753463762270199,-0.0008888436626198759
death_30d,cca,plain,0.8837433192935263,0.003503152327337413,0.001479046472940837
death_30d,cca,ridge_var,0.8813754291579656,0.005753463762270199,-0.0008888436626198759
