outcome,threshold,nb_model,nb_treat_all,nb_treat_none,prevalence
death_30d,0.21000000000000002,0.03215623162390517,-0.14821577790845225,0.0,0.09290953545232274
death_30d,0.22,0.03212964704407247,-0.16293649300984264,0.0,0.09290953545232274
death_30d,0.23,0.02994316197250183,-0.1780395643476328,0.0,0.09290953545232274
death_30d,0.24000000000000002,0.02914682795007077,-0.19354008493115432,0.0,0.09290953545232274
death_30d,0.25,0.027506112469437658,-0.20945395273023637,0.0,0.09290953545232274
death_30d,0.26,0.025573250512125816,-0.22579792506442875,0.0,0.09290953545232274
death_30d,0.27,0.02464246240412633,-0.24258967746257165,0.0,0.09290953545232274
death_30d,0.28,0.02139364303178484,-0.2598478674273296,0.0,0.09290953545232274
death_30d,0.29000000000000004,0.019766520885705425,-0.2775922035882779,0.0,0.09290953545232274
death_30d,0.3,0.02008382815228781,-0.2958435207823961,0.0,0.09290953545232274
death_30d,0.31,0.019568760851847913,-0.3146238616633005,0.0,0.09290953545232274
death_30d,0.32,0.02035092765712642,-0.33395656551129016,0.0,0.09290953545232274
death_30d,0.33,0.01805459256285808,-0.35386636499653334,0.0,0.09290953545232274
death_30d,0.34,0.01772616136919315,-0.37437949173890506,0.0,0.09290953545232274
death_30d,0.35000000000000003,0.016221553507617073,-0.3955237916118113,0.0,0.09290953545232274
death_30d,0.36000000000000004,0.016312652811735936,-0.4173288508557459,0.0,0.09290953545232274
death_30d,0.37,0.015242364264369156,-0.43982613420266237,0.0,0.09290953545232274
death_30d,0.38,0.013250256329363514,-0.46304913636722145,0.0,0.09290953545232274
death_30d,0.39,0.012295081967213115,-0.4870335484388153,0.0,0.09290953545232274
death_30d,0.4,0.011817440912795435,-0.5118174409127956,0.0,0.09290953545232274
death_30d,0.41000000000000003,0.012722224524470596,-0.5374414653350462,0.0,0.09290953545232274
death_30d,0.42000000000000004,0.011908776663013234,-0.5639490768063402,0.0,0.09290953545232274
death_30d,0.43,0.013511774546390428,-0.5913867799082057,0.0,0.09290953545232274
death_30d,0.44,0.015630457561997907,-0.6198044009779952,0.0,0.09290953545232274
death_30d,0.45,0.01500333407423872,-0.6492553900866859,0.0,0.09290953545232274
death_30d,0.46,0.01317576745449606,-0.6797971565697728,0.0,0.09290953545232274
death_30d,0.47000000000000003,0.011982746690040135,-0.7114914425427873,0.0,0.09290953545232274
death_30d,0.48000000000000004,0.011472634944517586,-0.744404739514764,0.0,0.09290953545232274
death_30d,0.49,0.009672083992521216,-0.7786087540150534,0.0,0.09290953545232274
death_30d,0.5,0.011002444987775063,-0.8141809290953546,0.0,0.09290953545232274
composite_30d,0.01,0.12554024351090365,0.12511422291373392,0.0,0.13386308068459657
