outcome,test,subset,k,leaf,depth,mean,sd,vs_late,lo,hi,brier,slope,slope_platt
death_30d,subset_k,16.0,3.0,5.0,12.0,0.8846494177609457,0.0007758577926869543,0.000756556825823762,,,,,
death_30d,subset_k,16.0,5.0,5.0,12.0,0.8857997380809117,0.0032097987713579465,0.0019068771457897427,,,,,
death_30d,subset_k,16.0,10.0,5.0,12.0,0.8876269776660886,0.0018332768811070205,0.0037341167309665746,,,,,
death_30d,subset_k,16.0,15.0,5.0,12.0,0.8892495929635791,0.0022947245602251564,0.005356732028457101,,,,,
death_30d,subset_k,16.0,20.0,5.0,12.0,0.8839736045729658,0.00095261571723046,8.074363784382754e-05,,,,,
death_30d,subset_k,32.0,1.0,5.0,12.0,0.8778204969383783,0.003319294830809673,-0.006072363996743713,,,,,
death_30d,subset_k,32.0,2.0,5.0,12.0,0.8771900329168584,0.0023088026250119103,-0.006702828018263607,,,,,
death_30d,subset_k,32.0,3.0,5.0,12.0,0.8791787597777226,0.0009354091936023451,-0.004714101157399342,,,,,
death_30d,subset_k,32.0,5.0,5.0,12.0,0.8785847963048171,0.0029454439992529498,-0.005308064630304865,,,,,
death_30d,subset_k,32.0,10.0,5.0,12.0,0.8789763476444981,0.004891345398653058,-0.004916513290623925,,,,,
death_30d,subset_k,32.0,15.0,5.0,12.0,0.8860231656815205,0.005021176440574497,0.002130304746398526,,,,,
death_30d,subset_k,32.0,20.0,5.0,12.0,0.8830666212437617,0.0021883569596148696,-0.0008262396913603087,,,,,
death_30d,leaf_depth,4.0,10.0,1.0,6.0,0.8949425724701803,0.0040701249527647955,0.011049711535058293,,,,,
death_30d,leaf_depth,4.0,10.0,1.0,12.0,0.8919716490284217,0.003613369961908858,0.00807878809329976,,,,,
death_30d,leaf_depth,4.0,10.0,1.0,-1.0,0.8881966074399179,0.002857847151691537,0.0043037465047959245,,,,,
death_30d,leaf_depth,4.0,10.0,2.0,6.0,0.8963561391710615,0.00399817039941066,0.012463278235939512,,,,,
death_30d,leaf_depth,4.0,10.0,2.0,12.0,0.8942678653594309,0.0031096880884306966,0.010375004424308942,,,,,
death_30d,leaf_depth,4.0,10.0,2.0,-1.0,0.8934858687573002,0.0032676752599252496,0.009593007822178201,,,,,
death_30d,leaf_depth,4.0,10.0,3.0,6.0,0.8971436661593459,0.003716609103677548,0.01325080522422395,,,,,
death_30d,leaf_depth,4.0,10.0,3.0,12.0,0.895278819948324,0.0034131485960540438,0.011385959013202052,,,,,
death_30d,leaf_depth,4.0,10.0,3.0,-1.0,0.8982287279226986,0.0030580685175461164,0.014335866987576606,,,,,
death_30d,leaf_depth,4.0,10.0,5.0,6.0,0.8980948925777793,0.0036540399268479677,0.01420203164265732,,,,,
death_30d,leaf_depth,4.0,10.0,5.0,12.0,0.9001234382189502,0.00025340516615976146,0.016230577283828262,,,,,
death_30d,leaf_depth,4.0,10.0,5.0,-1.0,0.901165362970304,1.8770753048874124e-05,0.017272502035182047,,,,,
death_30d,leaf_depth,4.0,10.0,10.0,6.0,0.8994177609457402,0.003466332396359383,0.015524900010618237,,,,,
death_30d,leaf_depth,4.0,10.0,10.0,12.0,0.9012781828478391,0.003513259278981451,0.017385321912717133,,,,,
death_30d,leaf_depth,4.0,10.0,10.0,-1.0,0.9014241850422964,0.0037572790686168146,0.017531324107174395,,,,,
death_30d,leaf_depth,4.0,10.0,25.0,6.0,0.9020546490638163,0.004298502448192724,0.01816178812869429,,,,,
death_30d,leaf_depth,4.0,10.0,25.0,12.0,0.9027713871093335,0.00436732854270542,0.018878526174211485,,,,,
death_30d,leaf_depth,4.0,10.0,25.0,-1.0,0.9027713871093335,0.00436732854270542,0.018878526174211485,,,,,
death_30d,per_outcome,4.0,10.0,25.0,12.0,0.9036226241461083,0.0025791230909298643,0.019729763210986295,0.8999752238700316,0.9075983081442678,0.07983285113088853,1.6149958293117355,0.9765909230557295
