outcome,model,protocol,n_mod,n,ev,auc,ehr_ref,gain,lo,hi,weights,sig
death_30d,ehr,unimodal,1,1649,152,0.8571045599971874,0.8571045599971874,0.0,0.0,0.0,,0
composite_30d,ctpa+ehr,source,2,1649,219,0.8316233994316184,0.8215154708305392,0.010069870868869324,0.000883314262594609,0.019726301954243294,"[0.25, 0.75]",1
composite_30d,ctpa+ehr,target_cv,2,1649,219,0.8306542772296195,0.8215154708305392,0.00909916224216734,3.291871908061854e-05,0.018371186302945083,"[0.24, 0.76]",1
composite_30d,cxr+ehr,source,2,533,100,0.786431870669746,0.7887759815242494,-0.0018181075734640566,-0.038225355751940034,0.03298085567759399,"[0.5, 0.5]",0
composite_30d,cxr+ehr,target_cv,2,533,100,0.7974133949191686,0.7887759815242494,0.009030645673286652,-0.00933963869770632,0.02789864693140047,"[0.29, 0.71]",0
composite_30d,ecg+ehr,source,2,1645,218,0.8171261323235375,0.8211202047022368,-0.0039230407021130665,-0.021933367244807687,0.013101001288785025,"[0.5, 0.5]",0
composite_30d,ecg+ehr,target_cv,2,1645,218,0.8284075786117022,0.8211202047022368,0.0073176651110961515,-0.0018809471767132712,0.01598250624636533,"[0.26, 0.74]",0
composite_30d,ctpa+cxr+ehr,source,3,533,100,0.8028175519630485,0.7887759815242494,0.014686755713578062,-0.021276847501252718,0.051840475269119064,"[0.33, 0.33, 0.33]",0
composite_30d,ctpa+cxr+ehr,target_cv,3,533,100,0.8091801385681293,0.7887759815242494,0.020813894381929703,-0.0016241292860878442,0.0450922843145025,"[0.25, 0.19, 0.56]",0
composite_30d,ctpa+ecg+ehr,source,3,1645,218,0.8238091717402904,0.8211202047022368,0.002705183289340178,-0.017226743086683132,0.022272381628722363,"[0.33, 0.33, 0.33]",0
composite_30d,ctpa+ecg+ehr,target_cv,3,1645,218,0.8345473598940487,0.8211202047022368,0.013435671958886503,0.0018701076192465416,0.025472867147818747,"[0.21, 0.2, 0.59]",1
composite_30d,cxr+ecg+ehr,source,3,530,99,0.8045653753310366,0.7877616067871288,0.016839944657187318,-0.020643239296902975,0.053766391101678045,"[0.33, 0.33, 0.33]",0
composite_30d,cxr+ecg+ehr,target_cv,3,530,99,0.8070730506925403,0.7877616067871288,0.019480616525001083,-0.004934106479989544,0.04320235382917143,"[0.22, 0.23, 0.55]",0
composite_30d,ctpa+cxr+ecg+ehr,source,4,530,99,0.8140570437554197,0.7877616067871288,0.026525540148060966,-0.008830052819264486,0.0623379371437623,"[0.25, 0.25, 0.25, 0.25]",0
composite_30d,ctpa+cxr+ecg+ehr,target_cv,4,530,99,0.819201293679252,0.7877616067871288,0.03154899393249654,0.004312998757174669,0.05916705270737955,"[0.2, 0.18, 0.2, 0.42]",1
composite_30d,ehr,unimodal,1,1649,219,0.8215154708305392,0.8215154708305392,0.0,0.0,0.0,,0
cv_first,ctpa+ehr,source,2,1506,76,0.8057692307692307,0.8048306956201693,0.0009637248037587003,-0.008601265260069624,0.010855535482285752,"[0.15, 0.85]",0
cv_first,ctpa+ehr,target_cv,2,1506,76,0.8012743835112256,0.8048306956201693,-0.003600672858947073,-0.012046925042494789,0.00420531552526487,"[0.1, 0.9]",0
cv_first,cxr+ehr,source,2,467,34,0.7375696236924332,0.7556717837250373,-0.017561301541665256,-0.0844163649048495,0.050309417448610796,"[0.5, 0.5]",0
cv_first,cxr+ehr,target_cv,2,467,34,0.7510528460806957,0.7556717837250373,-0.004565357009593516,-0.028085833281628118,0.01854010066088712,"[0.21, 0.79]",0
cv_first,ecg+ehr,source,2,1502,75,0.7705395935529081,0.8025881803316981,-0.03148200893194797,-0.06512691291176587,0.00491432568566558,"[0.5, 0.5]",0
cv_first,ecg+ehr,target_cv,2,1502,75,0.8028170988086895,0.8025881803316981,0.00028429299735836274,-0.004791255108541556,0.005073846917763166,"[0.08, 0.92]",0
cv_first,ctpa+cxr+ehr,source,3,467,34,0.7468754245347099,0.7556717837250373,-0.0075192048074384215,-0.07917350483073107,0.060445027876848266,"[0.33, 0.33, 0.33]",0
cv_first,ctpa+cxr+ehr,target_cv,3,467,34,0.7450753973644885,0.7556717837250373,-0.010027685405962241,-0.05197549998923971,0.028381070674263167,"[0.19, 0.2, 0.61]",0
cv_first,ctpa+ecg+ehr,source,3,1502,75,0.7658163980378416,0.8025881803316981,-0.036111031399206045,-0.07544536064439136,0.0017016685863289053,"[0.33, 0.33, 0.33]",0
cv_first,ctpa+ecg+ehr,target_cv,3,1502,75,0.7949077318383555,0.8025881803316981,-0.007670125662200045,-0.018337615169508444,0.0021559572027207803,"[0.06, 0.06, 0.88]",0
cv_first,cxr+ecg+ehr,source,3,464,33,0.715109329958518,0.749630879561274,-0.03318535594957721,-0.11841167229597044,0.052272980692924374,"[0.33, 0.33, 0.33]",0
cv_first,cxr+ecg+ehr,target_cv,3,464,33,0.7190817689657597,0.749630879561274,-0.030001610952694324,-0.06661012448932936,0.005246279627866188,"[0.18, 0.08, 0.74]",0
cv_first,ctpa+cxr+ecg+ehr,source,4,464,33,0.7289952893201154,0.749630879561274,-0.01935602883612473,-0.10047296858774661,0.05696681827893976,"[0.25, 0.25, 0.25, 0.25]",0
cv_first,ctpa+cxr+ecg+ehr,target_cv,4,464,33,0.7281164311326724,0.749630879561274,-0.02053325341009242,-0.06533674582696228,0.020786839916955457,"[0.18, 0.18, 0.06, 0.58]",0
cv_first,ehr,unimodal,1,1506,76,0.8048306956201693,0.8048306956201693,0.0,0.0,0.0,,0
