direction,outcome,arch,n,ev,auc,ap,ehr_ref,ctpa_ref,gap,c_ehr,c_ctpa,gain,lo,hi,sig
M2I,death_30d,inter:bilinear,3300,246,0.7720662226268629,0.1954001831863808,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.00039255189711189637,-0.023337834461098196,0.024489213143519335,0
M2I,death_30d,inter:tucker,3300,246,0.7693002912347394,0.19673913035638368,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.0025140564682136755,-0.0260389709536124,0.020265755694215536,0
M2I,death_30d,inter:crossattn,3300,246,0.7557940805341256,0.18814034488242173,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.016068278512358473,-0.04039514465533231,0.007110886713941701,0
M2I,death_30d,late:mean,3300,246,0.7939707221237242,0.22870417660901138,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.022222961012309504,0.0021331059368395913,0.043258333465607736,1
M2I,death_30d,late:wsrc,3300,246,0.7955526804776889,0.242177799166006,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.023652603244290894,0.014833334818702932,0.03315127969245604,1
M2I,death_30d,uni:ehr_only,3300,246,0.7719883559346399,0.2137651935556452,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,0.0,0.0,0.0,0
M2I,death_30d,uni:ctpa_only,3300,246,0.7158218463324123,0.15220941835399723,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.03,0.01,-0.055717789599053213,-0.09499576489079242,-0.013768727605151836,1
M2I,composite_30d,early:plain,3300,505,0.7488230397279442,0.32542144619347146,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,0.008200085928743992,-0.0030534656315659076,0.019960167989501603,0
M2I,composite_30d,early:blockstd,3300,505,0.7499410191466374,0.32688100226431743,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,0.009300409965525176,-0.0006896618459921676,0.019670321175065033,0
M2I,composite_30d,inter:plain,3300,505,0.709052586832923,0.2809299867792055,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.031880387254579305,-0.05097476870642485,-0.012088942767940989,1
M2I,composite_30d,inter:gated,3300,505,0.696476381090703,0.26630620047817166,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.044486649374140576,-0.0648451110976505,-0.02359768922049878,1
M2I,composite_30d,inter:moddrop,3300,505,0.7114833773180538,0.2863029218316379,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.02947655428419402,-0.0495915159024276,-0.008148444167004906,1
M2I,composite_30d,inter:lowrank,3300,505,0.6937296090968668,0.26540637686127755,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.047292716264807425,-0.06754965541434388,-0.025848255515634053,1
M2I,composite_30d,inter:bilinear,3300,505,0.7187056093802582,0.27602445660425345,0.7408009351919091,0.648886448573301,0.09191448661860813,0.01,0.003,-0.022228143669577725,-0.040308539016509395,-0.0037099667740157706,1
