outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
death_30d_inhosp,boot,ccaaug,rf,0.1,10.0,0.014966160485326337,,-0.00039703100229460385,0.0320474492365509,0.014966160485326337,0.0
death_30d_inhosp,boot,ccaaug,gb,0.1,10.0,-0.01578885770669719,,-0.03757052613998716,0.007680691620197445,-0.01578885770669719,0.0
death_30d_inhosp,grid,ccaaug,rf,0.01,2.0,0.9076764642116023,0.007440820740725842,0.8975748753368229,0.9174280670238796,0.0253724409204944,
death_30d_inhosp,grid,ccaaug,rf,0.1,2.0,0.908131755815034,0.006699898196576898,0.8984266113296373,0.9161117477622572,0.025827732523926117,
death_30d_inhosp,grid,ccaaug,rf,0.5,2.0,0.9160420602719361,0.003345178767987144,0.9114117136928175,0.9196580667141574,0.03373803698082822,
death_30d_inhosp,grid,ccaaug,rf,0.01,5.0,0.9069997212500388,0.006226256983763269,0.8978226530801872,0.9137114008734165,0.024695697958930896,
death_30d_inhosp,grid,ccaaug,rf,0.1,5.0,0.9095425403413138,0.007248949843648287,0.8981014030414719,0.915569733948648,0.027238517050205857,
death_30d_inhosp,grid,ccaaug,rf,0.5,5.0,0.9165902685291293,0.003681716150497968,0.9104283457738409,0.9195961222783164,0.03428624523802137,
death_30d_inhosp,grid,ccaaug,rf,0.01,10.0,0.9080914919317372,0.005372849653944536,0.899402236194134,0.9121627899773903,0.025787468640629307,
death_30d_inhosp,grid,ccaaug,rf,0.1,10.0,0.9095193111778734,0.006573380353966303,0.8986511599095611,0.9145941090841515,0.027215287886765527,
death_30d_inhosp,grid,ccaaug,rf,0.5,10.0,0.9173645739771426,0.00490425596615096,0.9090268529129371,0.9217796636417134,0.03506055068603464,
death_30d_inhosp,grid,ccaaug,rf,0.01,20.0,0.9067411032304025,0.003706119017939536,0.9008114721095177,0.9106374082448043,0.02443707993929456,
death_30d_inhosp,grid,ccaaug,rf,0.1,20.0,0.9093861306408153,0.005732474569344351,0.9007495276736768,0.9151825812246415,0.027082107349707396,
death_30d_inhosp,grid,ccaaug,rf,0.5,20.0,0.9147272896212097,0.002559723117401904,0.9105522346455229,0.9169479976461115,0.03242326633010184,
death_30d,ref,late,l2,,,0.8821549923901888,0.003148083844325504,0.8772696704774714,0.8869589070187237,0.0,
death_30d,ablation,raw,rf,0.1,10.0,0.8888144621810072,0.002939663323142351,0.8832203659788341,0.8917637065090434,0.00665946979081844,
death_30d,ablation,raw,gb,0.1,10.0,0.8938227798817824,0.0059695243797278945,0.884543234346795,0.901413124269989,0.011667787491593584,
death_30d,ablation,raw,catboost,0.1,10.0,0.8956898382472659,0.006031794562281125,0.8875296428697838,0.9056737337627863,0.013534845857077094,
death_30d,ablation,raw,l2,0.1,10.0,0.8842419389091424,0.004395121563077546,0.8752964286978374,0.8926352953668637,0.0020869465189535807,
death_30d,ablation,cca,rf,0.1,10.0,0.8871712738470251,0.005996982058990274,0.8776988284429973,0.8974976108731817,0.005016281456836302,
death_30d,ablation,cca,gb,0.1,10.0,0.8845604891515946,0.008002745413947578,0.8693280359607829,0.8944315647895799,0.0024054967614057787,
death_30d,ablation,cca,catboost,0.1,10.0,0.8894462534952041,0.007914147551939667,0.8784244151063604,0.900837964110006,0.007291261105015323,
death_30d,ablation,cca,l2,0.1,10.0,0.8813842777758115,0.0043962474849201395,0.8723985063533076,0.8861271369412097,-0.000770714614377277,
death_30d,ablation,ccaaug,rf,0.1,10.0,0.8993876756450643,0.0028997277557745367,0.8946749017803419,0.9031563019856298,0.01723268325487548,
death_30d,ablation,ccaaug,gb,0.1,10.0,0.902605475524723,0.006839399436741582,0.8911487275687537,0.9124650479595088,0.020450483134534236,
death_30d,ablation,ccaaug,catboost,0.1,10.0,0.8998101971472054,0.005699394933896009,0.892445050083177,0.909399001875907,0.01765520475701665,
death_30d,ablation,ccaaug,l2,0.1,10.0,0.8835513042862704,0.003116896800096671,0.8787827841291191,0.8892595476586557,0.0013963118960815812,
death_30d,ablation,ccaaug_shuf,rf,0.1,10.0,0.8860771422503806,0.003034266087173124,0.8819417407001027,0.890883269033377,0.003922149860191793,
