outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
composite_30d,leaf_depth,0.25,10.0,10.0,-1.0,0,0.8592565438291851,0.0025001960401084353,0.016686282076017855,,,,,
composite_30d,leaf_depth,0.25,10.0,25.0,4.0,0,0.8538934979741463,0.002467671160105462,0.011323236220978972,,,,,
composite_30d,leaf_depth,0.25,10.0,25.0,6.0,0,0.8565714836967008,0.0024485015974503475,0.014001221943533482,,,,,
composite_30d,leaf_depth,0.25,10.0,25.0,8.0,0,0.8567502733294745,0.0023590253569278205,0.014180011576307217,,,,,
composite_30d,leaf_depth,0.25,10.0,25.0,12.0,0,0.8567997941989838,0.0023984678301127165,0.014229532445816484,,,,,
composite_30d,leaf_depth,0.25,10.0,25.0,-1.0,0,0.8567997941989838,0.0023984678301127165,0.014229532445816484,,,,,
composite_30d,leaf_depth,0.25,10.0,50.0,4.0,0,0.8504038844941798,0.0027665517315475616,0.007833622741012514,,,,,
composite_30d,leaf_depth,0.25,10.0,50.0,6.0,0,0.8513846549617339,0.002625270560407459,0.008814393208566584,,,,,
composite_30d,leaf_depth,0.25,10.0,50.0,8.0,0,0.8514406071129976,0.0025879167321677518,0.008870345359830334,,,,,
composite_30d,leaf_depth,0.25,10.0,50.0,12.0,0,0.8514489677792785,0.0025856358230601614,0.008878706026111183,,,,,
composite_30d,leaf_depth,0.25,10.0,50.0,-1.0,0,0.8514489677792785,0.0025856358230601614,0.008878706026111183,,,,,
composite_30d,leaf_depth,0.25,10.0,100.0,4.0,0,0.8406225480738311,0.0022425820458196214,-0.001947713679336216,,,,,
composite_30d,leaf_depth,0.25,10.0,100.0,6.0,0,0.8406733551996913,0.002310149394930324,-0.0018969065534759633,,,,,
composite_30d,leaf_depth,0.25,10.0,100.0,8.0,0,0.8406733551996913,0.002310149394930324,-0.0018969065534759633,,,,,
composite_30d,leaf_depth,0.25,10.0,100.0,12.0,0,0.8406733551996913,0.002310149394930324,-0.0018969065534759633,,,,,
composite_30d,leaf_depth,0.25,10.0,100.0,-1.0,0,0.8406733551996913,0.002310149394930324,-0.0018969065534759633,,,,,
composite_30d,prod,0.25,10.0,10.0,12.0,0,0.8593420798765194,0.002571168212555153,0.016771818123352156,,,,,
composite_30d,prod,0.25,10.0,10.0,12.0,3,0.8573329474564281,0.0029364529281054137,0.01476268570326078,,,,,
composite_30d,prod,0.25,10.0,10.0,12.0,5,0.8558640427037109,0.002370588905733346,0.013293780950543566,,,,,
composite_30d,final,0.25,10.0,10.0,12.0,0,0.8596385619653996,0.003029735280200624,0.017068300212232268,0.8544922503054859,0.8647244195768217,0.10593891490085039,1.3471820201831244,-0.8165343928003617
composite_30d,calib_platt,0.25,10.0,10.0,12.0,0,0.8583670975625441,,,,,0.09017216518795873,0.9813226999216228,-0.024561890087625826
composite_30d,calib_isotonic,0.25,10.0,10.0,12.0,0,0.8489581323557784,,,,,0.09027540309891431,0.7002005406597911,-0.3607406491449426
cv_first,ref,,,,,0,0.775011119347665,0.0175822226787232,0.0,,,,,
cv_first,untuned,,10.0,10.0,6.0,0,0.812616753150482,0.005056623618019044,0.03760563380281701,,,,,
cv_first,mtry_k,0.1,5.0,10.0,6.0,0,0.8072442550037063,0.009705281728907679,0.032233135656041356,,,,,
cv_first,mtry_k,0.1,10.0,10.0,6.0,0,0.812616753150482,0.005056623618019044,0.03760563380281701,,,,,
cv_first,mtry_k,0.1,20.0,10.0,6.0,0,0.8105096367679762,0.009023527900764758,0.03549851742031118,,,,,
cv_first,mtry_k,0.1,30.0,10.0,6.0,0,0.809560785767235,0.007454097544726827,0.034549666419570024,,,,,
cv_first,mtry_k,0.25,5.0,10.0,6.0,0,0.8086582653817643,0.009657915636004053,0.03364714603409935,,,,,
cv_first,mtry_k,0.25,10.0,10.0,6.0,0,0.8115604151223128,0.0055096183790703706,0.03654929577464783,,,,,
cv_first,mtry_k,0.25,20.0,10.0,6.0,0,0.809090066716086,0.010008785563273595,0.034078947368420986,,,,,
cv_first,mtry_k,0.25,30.0,10.0,6.0,0,0.8075667160859895,0.007402129176974141,0.03255559673832453,,,,,
cv_first,mtry_k,0.4,5.0,10.0,6.0,0,0.8066827279466272,0.011899770101232115,0.03167160859896223,,,,,
cv_first,mtry_k,0.4,10.0,10.0,6.0,0,0.8124870274277243,0.00783400043032292,0.037475908080059295,,,,,
cv_first,mtry_k,0.4,20.0,10.0,6.0,0,0.8073109710896962,0.008368106910471226,0.032299851742031205,,,,,
cv_first,mtry_k,0.4,30.0,10.0,6.0,0,0.8060822831727206,0.006717691900051344,0.031071163825055592,,,,,
cv_first,mtry_k,0.6,5.0,10.0,6.0,0,0.8016994069681246,0.008892223776154973,0.026688287620459605,,,,,
cv_first,mtry_k,0.6,10.0,10.0,6.0,0,0.8070663454410674,0.007602930477378815,0.03205522609340239,,,,,
cv_first,mtry_k,0.6,20.0,10.0,6.0,0,0.8027631578947367,0.007345632189863547,0.027752038547071756,,,,,
cv_first,mtry_k,0.6,30.0,10.0,6.0,0,0.80218495181616,0.005364186567176495,0.02717383246849503,,,,,
cv_first,mtry_k,1.0,5.0,10.0,6.0,0,0.7940344699777613,0.012096728279779758,0.019023350630096303,,,,,
cv_first,mtry_k,1.0,10.0,10.0,6.0,0,0.7951593773165306,0.008839421475028987,0.020148257968865657,,,,,
cv_first,mtry_k,1.0,20.0,10.0,6.0,0,0.7919977761304671,0.00990917440453681,0.01698665678280209,,,,,
cv_first,mtry_k,1.0,30.0,10.0,6.0,0,0.7895366938472944,0.007479166018029212,0.014525574499629434,,,,,
cv_first,leaf_depth,0.1,10.0,5.0,4.0,0,0.8082542624166049,0.00593607977446202,0.03324314306893994,,,,,
cv_first,leaf_depth,0.1,10.0,5.0,6.0,0,0.8077168272794661,0.007584890288621616,0.032705707931801165,,,,,
cv_first,leaf_depth,0.1,10.0,5.0,8.0,0,0.8080967383246851,0.006003240733822152,0.033085618977020115,,,,,
cv_first,leaf_depth,0.1,10.0,5.0,12.0,0,0.8077853965900668,0.00741572812467301,0.032774277242401784,,,,,
cv_first,leaf_depth,0.1,10.0,5.0,-1.0,0,0.8082765011119347,0.00708679548842204,0.03326538176426974,,,,,
cv_first,leaf_depth,0.1,10.0,10.0,4.0,0,0.8099128984432914,0.006101154163346,0.03490177909562642,,,,,
cv_first,leaf_depth,0.1,10.0,10.0,6.0,0,0.812616753150482,0.005056623618019044,0.03760563380281701,,,,,
cv_first,leaf_depth,0.1,10.0,10.0,8.0,0,0.8139807264640474,0.006059553523002071,0.03896960711638242,,,,,
cv_first,leaf_depth,0.1,10.0,10.0,12.0,0,0.814927724240178,0.0062639642938352265,0.03991660489251303,,,,,
cv_first,leaf_depth,0.1,10.0,10.0,-1.0,0,0.8147220163083766,0.006330499714234578,0.03971089696071162,,,,,
cv_first,leaf_depth,0.1,10.0,25.0,4.0,0,0.8163917716827278,0.0053569211675369805,0.04138065233506283,,,,,
