outcome,test,mtry,k,leaf,depth,prod,mean,sd,vs_late,lo,hi,brier,slope,intercept
cv_first,leaf_depth,0.1,10.0,25.0,6.0,0,0.8183969607116384,0.005737790352747487,0.04338584136397339,,,,,
cv_first,leaf_depth,0.1,10.0,25.0,8.0,0,0.818545218680504,0.005931247465966103,0.04353409933283903,,,,,
cv_first,leaf_depth,0.1,10.0,25.0,12.0,0,0.8186749444032616,0.005904765938541038,0.04366382505559663,,,,,
cv_first,leaf_depth,0.1,10.0,25.0,-1.0,0,0.8186749444032616,0.005904765938541038,0.04366382505559663,,,,,
cv_first,leaf_depth,0.1,10.0,50.0,4.0,0,0.816580800593032,0.0029459903806835558,0.041569681245366974,,,,,
cv_first,leaf_depth,0.1,10.0,50.0,6.0,0,0.8166697553743514,0.002599927835042989,0.0416586360266864,,,,,
cv_first,leaf_depth,0.1,10.0,50.0,8.0,0,0.8166586360266864,0.0023491166245257684,0.041647516679021446,,,,,
cv_first,leaf_depth,0.1,10.0,50.0,12.0,0,0.8166623424759081,0.002347965006197231,0.0416512231282431,,,,,
cv_first,leaf_depth,0.1,10.0,50.0,-1.0,0,0.8166623424759081,0.002347965006197231,0.0416512231282431,,,,,
cv_first,leaf_depth,0.1,10.0,100.0,4.0,0,0.8084710896960712,0.00637354160907264,0.0334599703484062,,,,,
cv_first,leaf_depth,0.1,10.0,100.0,6.0,0,0.8083358042994812,0.00619932925873631,0.033324684951816175,,,,,
cv_first,leaf_depth,0.1,10.0,100.0,8.0,0,0.8083358042994812,0.00619932925873631,0.033324684951816175,,,,,
cv_first,leaf_depth,0.1,10.0,100.0,12.0,0,0.8083358042994812,0.00619932925873631,0.033324684951816175,,,,,
cv_first,leaf_depth,0.1,10.0,100.0,-1.0,0,0.8083358042994812,0.00619932925873631,0.033324684951816175,,,,,
cv_first,prod,0.1,10.0,25.0,12.0,0,0.8186749444032616,0.005904765938541038,0.04366382505559663,,,,,
cv_first,prod,0.1,10.0,25.0,12.0,3,0.8190548554484804,0.0052974418206762535,0.04404373610081547,,,,,
cv_first,prod,0.1,10.0,25.0,12.0,5,0.8143717568569311,0.005056735684212581,0.039360637509266105,,,,,
cv_first,final,0.1,10.0,25.0,12.0,0,0.8207542624166049,0.004662088462743882,0.045743143068939895,0.8094143810229799,0.8258895478131949,0.09288791780260776,1.4275657208963293,-1.7763146962450047
cv_first,calib_platt,0.1,10.0,25.0,12.0,0,0.8166326908821349,,,,,0.04498654791821587,0.975871944871142,-0.05755118324787856
cv_first,calib_isotonic,0.1,10.0,25.0,12.0,0,0.7939770200148257,,,,,0.04559067163755769,0.600096420273835,-0.9470371913623251
