outcome,stage,method,mean,sd,vs_late,na,nb,leaf,depth,k,reg,ntree,lo,hi,slope,slope_platt,brier,brier_platt,vs_per_outcome
composite_30d,C,cca_k,0.8520094217365848,0.002685900642599127,0.00995316362160048,20.0,8.0,10.0,-1.0,5.0,,,,,,,,,
composite_30d,C,cca_k,0.8525621999235072,0.0013619885742865035,0.010505941808522934,20.0,8.0,10.0,-1.0,10.0,,,,,,,,,
composite_30d,C,cca_k,0.8539773170330195,0.0019573713735692375,0.011921058918035188,20.0,8.0,10.0,-1.0,20.0,,,,,,,,,
composite_30d,C,cca_k,0.8532064476760665,0.001239384502997048,0.011150189561082158,20.0,8.0,10.0,-1.0,30.0,,,,,,,,,
composite_30d,C,cca_reg,0.852485459557208,0.001983608443897429,0.010429201442223701,20.0,8.0,10.0,-1.0,20.0,0.01,,,,,,,,
composite_30d,C,cca_reg,0.8539773170330195,0.0019573713735692375,0.011921058918035188,20.0,8.0,10.0,-1.0,20.0,0.1,,,,,,,,
composite_30d,C,cca_reg,0.8547939830601831,0.0012922638474086197,0.012737724945198758,20.0,8.0,10.0,-1.0,20.0,0.5,,,,,,,,
composite_30d,D,ntree,0.8529654581709305,0.001290120436492904,0.0109092000559462,20.0,8.0,10.0,-1.0,20.0,0.5,150.0,,,,,,,
composite_30d,D,ntree,0.8547939830601831,0.0012922638474086197,0.012737724945198758,20.0,8.0,10.0,-1.0,20.0,0.5,300.0,,,,,,,
composite_30d,D,ntree,0.8554895973482491,0.0007736840643834732,0.01343333923326484,20.0,8.0,10.0,-1.0,20.0,0.5,600.0,,,,,,,
composite_30d,E,final,0.8557138772574973,0.001815532818921101,0.013657619142512956,20.0,8.0,10.0,-1.0,20.0,0.5,600.0,0.8535781433534796,0.8598368153243086,1.6416524404162116,0.9980167235722804,0.10528033916604337,0.09558789299361778,
cv_first,ref,late_wsrc,0.8220790492985467,,0.0,,,,,,,,,,,,,,
cv_first,A,block,0.7954736187432099,0.005127907066190649,-0.026605430555336818,14.0,8.0,,,,,,,,,,,,
cv_first,A,block,0.7958038764938358,0.006275463344039385,-0.026275172804710922,14.0,16.0,,,,,,,,,,,,
cv_first,A,block,0.79478239989923,0.006314813260496541,-0.02729664939931664,14.0,24.0,,,,,,,,,,,,
cv_first,A,block,0.79584048432555,0.005783796160515542,-0.026238564972996703,14.0,32.0,,,,,,,,,,,,
cv_first,A,block,0.7946021161688528,0.005829166427114703,-0.027476933129693903,20.0,8.0,,,,,,,,,,,,
cv_first,A,block,0.7953386027617263,0.0054484622821494855,-0.026740446536820395,20.0,16.0,,,,,,,,,,,,
cv_first,A,block,0.7951150194454504,0.007572136739131941,-0.026964029853096316,20.0,24.0,,,,,,,,,,,,
cv_first,A,block,0.7952283856339847,0.0067072925911920885,-0.026850663664562013,20.0,32.0,,,,,,,,,,,,
