outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,3.0,tcp,5.0,0.25,0.9022521509088511,0.006027455172960773,-0.0015478490911489118,0.1061735944626377
death_30d_inhosp,3.0,tcp,10.0,0.0,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
death_30d_inhosp,3.0,tcp,10.0,0.1,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
death_30d_inhosp,3.0,tcp,10.0,0.25,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
death_30d_inhosp,3.0,tcp,20.0,0.0,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,tcp,20.0,0.1,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,tcp,20.0,0.25,0.8806166068006733,0.008835804625425428,-0.02318339319932672,0.1061735944626377
death_30d_inhosp,3.0,tcp,-1.0,0.0,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,tcp,-1.0,0.1,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,tcp,-1.0,0.25,0.5716506722317473,0.01595107105744075,-0.3321493277682528,0.1061735944626377
death_30d_inhosp,3.0,err,1.0,0.0,0.9065221607615264,0.0035995604383047093,0.0027221607615263155,0.1061735944626377
death_30d_inhosp,3.0,err,1.0,0.1,0.9065221607615264,0.0035995604383047093,0.0027221607615263155,0.1061735944626377
death_30d_inhosp,3.0,err,1.0,0.25,0.9065221607615264,0.0035995604383047093,0.0027221607615263155,0.1061735944626377
death_30d_inhosp,3.0,err,2.0,0.0,0.906829378040171,0.00390755366116858,0.0030293780401710046,0.1061735944626377
death_30d_inhosp,3.0,err,2.0,0.1,0.906829378040171,0.00390755366116858,0.0030293780401710046,0.1061735944626377
death_30d_inhosp,3.0,err,2.0,0.25,0.906829378040171,0.00390755366116858,0.0030293780401710046,0.1061735944626377
death_30d_inhosp,3.0,err,5.0,0.0,0.9022521509088511,0.006027455172960773,-0.0015478490911489118,0.1061735944626377
death_30d_inhosp,3.0,err,5.0,0.1,0.9022521509088511,0.006027455172960773,-0.0015478490911489118,0.1061735944626377
death_30d_inhosp,3.0,err,5.0,0.25,0.9022521509088511,0.006027455172960773,-0.0015478490911489118,0.1061735944626377
death_30d_inhosp,3.0,err,10.0,0.0,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
death_30d_inhosp,3.0,err,10.0,0.1,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
death_30d_inhosp,3.0,err,10.0,0.25,0.8867004398792853,0.008700347512422421,-0.017099560120714785,0.1061735944626377
