direction,outcome,arch,n,ev,prev,auc,brier,slope,intercept
M2I,composite_30d,late:mean,3300,505,0.15303030303030302,0.7365550222285199,0.2540145719244789,0.747168363611088,-1.9657177638383958
M2I,composite_30d,late:wsrc,3300,505,0.15303030303030302,0.7490699445615403,0.25571097859970227,0.7485915104078061,-2.0038457629699655
M2I,cv_first,uni:ehr_only,3083,288,0.09341550437885177,0.7619701600079506,0.2890932230713591,0.5036093451130915,-2.5862834248177875
M2I,cv_first,early:plain,3083,288,0.09341550437885177,0.707619012124826,0.08553870704833191,0.47261373736499435,-0.9959356929478422
M2I,cv_first,early:blockstd,3083,288,0.09341550437885177,0.7610626614987082,0.08053089160379306,1.566106514528124,1.7907365835460318
M2I,cv_first,inter:plain,3083,288,0.09341550437885177,0.577256012721129,0.15309938395103356,0.05586543563284152,-1.8586553801379475
M2I,cv_first,late:mean,3083,288,0.09341550437885177,0.698848389982111,0.2691222592147054,0.6401398886135243,-2.4809565858200027
M2I,cv_first,late:wsrc,3083,288,0.09341550437885177,0.7388404392764857,0.26708328449226104,0.7248446582565201,-2.549766911983572
M2M,death_30d,uni:ehr_only,1649,152,0.09217707701637357,0.8724796083394859,0.2722272018911916,0.8397338674415769,-3.0798849346480126
M2M,death_30d,early:plain,1649,152,0.09217707701637357,0.8750263685265268,0.0648130944660984,0.788876149204734,-0.33677818705671714
M2M,death_30d,early:blockstd,1649,152,0.09217707701637357,0.8803659951481911,0.06787898525312204,1.6765795922105808,1.2895878186095382
M2M,death_30d,inter:plain,1649,152,0.09217707701637357,0.85809337974194,0.0898870678307887,0.26406317665539225,-1.0965309956492282
M2M,death_30d,late:mean,1649,152,0.09217707701637357,0.8678563266884647,0.25478128013429796,1.2058667422154872,-3.1336688366192167
M2M,death_30d,late:wsrc,1649,152,0.09217707701637357,0.8841718524768836,0.2556751204470925,1.2802952157654497,-3.2884776869299426
M2M,composite_30d,uni:ehr_only,1649,219,0.1328077622801698,0.834744707347447,0.2573384869619799,0.6971722278056715,-2.373589550380417
M2M,composite_30d,early:plain,1649,219,0.1328077622801698,0.8227927323817734,0.09786129626016703,0.7230129640180546,-0.3887640379621179
M2M,composite_30d,early:blockstd,1649,219,0.1328077622801698,0.8389117731583485,0.09568732551427384,1.422227386177509,0.6758815438059739
M2M,composite_30d,inter:plain,1649,219,0.1328077622801698,0.810061627869847,0.13876003628406636,0.2524466706795033,-1.032181330636244
M2M,composite_30d,late:mean,1649,219,0.1328077622801698,0.8164734808570425,0.24532534027274963,1.0061002139816395,-2.404857182703117
M2M,composite_30d,late:wsrc,1649,219,0.1328077622801698,0.8379634064565571,0.24413959941469604,1.068531966885652,-2.5135525588879166
M2M,cv_first,uni:ehr_only,1506,76,0.05046480743691899,0.7750782112624218,0.3084694056361885,0.33587879774718216,-3.1460620493596796
M2M,cv_first,early:plain,1506,76,0.05046480743691899,0.7592105263157896,0.04933507587990008,0.5234425773658676,-1.196633443373441
M2M,cv_first,early:blockstd,1506,76,0.05046480743691899,0.7790117776959882,0.046344040967902685,1.6213417742770224,1.7023910982551356
M2M,cv_first,inter:plain,1506,76,0.05046480743691899,0.6912771439087229,0.07215216749004297,0.124271060798404,-1.798385792510464
M2M,cv_first,late:mean,1506,76,0.05046480743691899,0.7672202797202797,0.27877989904327466,0.7597260156329849,-3.31844913057281
M2M,cv_first,late:wsrc,1506,76,0.05046480743691899,0.7844865660655134,0.28049751729632516,0.7862469319514962,-3.3611176188742897
I2I,death_30d,uni:ehr_only,3300,246,0.07454545454545454,0.779259907039149,0.2954466608231071,0.5047957148948522,-2.866821241642254
I2I,death_30d,early:plain,3300,246,0.07454545454545454,0.7995378578540205,0.0634472305957734,0.7998703144208539,-0.40322740331472795
I2I,death_30d,early:blockstd,3300,246,0.07454545454545454,0.799471305125625,0.06349871514788694,1.4799577041768865,1.0838026015936135
I2I,death_30d,inter:plain,3300,246,0.07454545454545454,0.7364219123527188,0.10183845055663586,0.20006172260727134,-1.6179151516907142
I2I,death_30d,late:mean,3300,246,0.07454545454545454,0.7920200616544476,0.27114343799565904,0.8876280058069902,-2.9851949805873423
I2I,death_30d,late:wsrc,3300,246,0.07454545454545454,0.7951440467253396,0.2716139232406712,0.8999410730279385,-3.005244667652189
I2I,composite_30d,uni:ehr_only,3300,505,0.15303030303030302,0.7556063692236845,0.26760001147842055,0.5117775447602417,-1.979049746910673
I2I,composite_30d,early:plain,3300,505,0.15303030303030302,0.7552921589117767,0.11729556399886988,0.786476668823533,-0.31504104105411523
I2I,composite_30d,early:blockstd,3300,505,0.15303030303030302,0.7620793850404718,0.1158519344812228,1.227076539168046,0.34004086648780435
I2I,composite_30d,inter:plain,3300,505,0.15303030303030302,0.6963013868470925,0.17673233282386022,0.21662791181125518,-1.224794265464057
I2I,composite_30d,late:mean,3300,505,0.15303030303030302,0.7428108893179122,0.25313950959317694,0.7629027750639737,-1.9777053659793224
I2I,composite_30d,late:wsrc,3300,505,0.15303030303030302,0.7607495704847766,0.2521349711022067,0.7927950774804562,-2.026115503538357
I2I,cv_first,uni:ehr_only,3083,288,0.09341550437885177,0.7845048201152851,0.28580389734442657,0.5406058689056922,-2.6390532241624327
I2I,cv_first,early:plain,3083,288,0.09341550437885177,0.7644702842377262,0.07761594003923544,0.7845833623081182,-0.40070820197158663
I2I,cv_first,early:blockstd,3083,288,0.09341550437885177,0.7762000596302921,0.07730508610581253,1.4859477683361222,0.9895234467786794
I2I,cv_first,inter:plain,3083,288,0.09341550437885177,0.6704792784734646,0.13458723003259784,0.1527099743376595,-1.6881253983731992
I2I,cv_first,late:mean,3083,288,0.09341550437885177,0.732569320214669,0.2690300109461248,0.7392217239545357,-2.5675384934432
I2I,cv_first,late:wsrc,3083,288,0.09341550437885177,0.7809940866626914,0.2721658408841239,0.8191807346170068,-2.7316018205657278
