direction,outcome,config,drop,wd,ls,auc,src_auc,overfit,ehr_ref,late_ref,gain,lo,hi,vs_late,sig
M2I,composite_30d,drop00,0.0,0.0001,0.0,0.6702523955436689,1.0,0.3297476044563311,0.7408009351919091,0.751952744469438,-0.07071580172541522,-0.09437632972296939,-0.04563062232914044,-0.08170034892576916,1
M2I,composite_30d,drop20,0.2,0.0001,0.0,0.7085403567190351,0.9987355110642782,0.290195154345243,0.7408009351919091,0.751952744469438,-0.032378990881754374,-0.05157032577104259,-0.012768939206576383,-0.0434123877504029,1
M2I,composite_30d,drop40,0.4,0.0001,0.0,0.7212029968649817,0.9892454577386084,0.2680424608736267,0.7408009351919091,0.751952744469438,-0.019661929910955472,-0.03750953684346371,-0.0018867048175316902,-0.030749747604456368,1
M2I,composite_30d,drop50,0.5,0.0001,0.0,0.7272257744557997,0.9800172430309417,0.252791468575142,0.7408009351919091,0.751952744469438,-0.013625978989208051,-0.030071465026402528,0.0027604843971897174,-0.024726970013638327,0
M2I,composite_30d,drop60,0.6,0.0001,0.0,0.7323958979082166,0.9651147938819172,0.23271889597370066,0.7408009351919091,0.751952744469438,-0.00841473596559229,-0.023589084664479648,0.006942843141310665,-0.019556846561221475,0
M2I,composite_30d,drop70,0.7,0.0001,0.0,0.7402869338812235,0.9437270492065014,0.20344011532527795,0.7408009351919091,0.751952744469438,-0.0005094286078945106,-0.014438636617272588,0.013676022406035082,-0.011665810588214587,0
M2I,composite_30d,drop80,0.8,0.0001,0.0,0.7479675516746666,0.9222435099147428,0.17427595824007625,0.7408009351919091,0.751952744469438,0.007266136844292283,-0.005380341614314649,0.020215678766128904,-0.003985192794771497,0
M2I,composite_30d,drop90,0.9,0.0001,0.0,0.7514699162223915,0.8892518440463646,0.13778192782397314,0.7408009351919091,0.751952744469438,0.010679484465358022,0.0029308883836398764,0.018476659525914495,-0.0004828282470465961,1
M2I,composite_30d,d50_wd1e2,0.5,0.01,0.0,0.7255293221629857,0.9789539227895392,0.2534246006265535,0.7408009351919091,0.751952744469438,-0.015328749307659996,-0.03154853820149675,0.0007572383829319355,-0.026423422306452338,0
M2I,composite_30d,d50_wd1e1,0.5,0.1,0.0,0.755596804760977,0.9072165277644729,0.1516197230034959,0.7408009351919091,0.751952744469438,0.014900026663393903,0.003936146218015421,0.025726185169498563,0.003644060291538964,1
M2I,composite_30d,d50_ls10,0.5,0.0001,0.1,0.7343027683805947,0.9802439569562857,0.24594118857569103,0.7408009351919091,0.751952744469438,-0.006572886742945442,-0.022337950272080243,0.00905936001714636,-0.017649976088843333,0
M2I,composite_30d,d80_wd1e2,0.8,0.01,0.0,0.7478626968242441,0.9208576811316537,0.17299498430740956,0.7408009351919091,0.751952744469438,0.007193274856403473,-0.005522276792100131,0.020407896475901993,-0.004090047645193939,0
