direction,outcome,arch,decile,pred,obs,n
I2M,cv_first,early:blockstd,9,0.2201812476223947,0.2185430463576159,151
I2M,cv_first,inter:plain,0,0.0004193967906758189,0.006622516556291391,151
I2M,cv_first,inter:plain,1,0.0015689433785155416,0.006622516556291391,151
I2M,cv_first,inter:plain,2,0.0033013164065778255,0.02,150
I2M,cv_first,inter:plain,3,0.005771697964519262,0.019867549668874173,151
I2M,cv_first,inter:plain,4,0.01066630333662033,0.006666666666666667,150
I2M,cv_first,inter:plain,5,0.01831142231822014,0.026490066225165563,151
I2M,cv_first,inter:plain,6,0.036128394305706024,0.07333333333333333,150
I2M,cv_first,inter:plain,7,0.08507473766803741,0.0728476821192053,151
I2M,cv_first,inter:plain,8,0.28153273463249207,0.06666666666666667,150
I2M,cv_first,inter:plain,9,0.7417181134223938,0.2052980132450331,151
I2M,cv_first,late:mean,0,0.14163302928636332,0.013157894736842105,152
I2M,cv_first,late:mean,1,0.2557826090780366,0.006622516556291391,151
I2M,cv_first,late:mean,2,0.33424690499745985,0.013422818791946308,149
I2M,cv_first,late:mean,3,0.40191771545165916,0.019867549668874173,151
I2M,cv_first,late:mean,4,0.45742526582412074,0.019867549668874173,151
I2M,cv_first,late:mean,5,0.5143050022133687,0.06,150
I2M,cv_first,late:mean,6,0.5820108455068614,0.03333333333333333,150
I2M,cv_first,late:mean,7,0.6625924557839283,0.06622516556291391,151
I2M,cv_first,late:mean,8,0.761385568835768,0.11333333333333333,150
I2M,cv_first,late:mean,9,0.8945586308188879,0.15894039735099338,151
I2M,cv_first,late:wsrc,0,0.10158911814112202,0.013245033112582781,151
I2M,cv_first,late:wsrc,1,0.19325820338953237,0.013245033112582781,151
I2M,cv_first,late:wsrc,2,0.2818891102257636,0.013333333333333334,150
I2M,cv_first,late:wsrc,3,0.36598264777534456,0.0,151
I2M,cv_first,late:wsrc,4,0.45406463036741923,0.013333333333333334,150
I2M,cv_first,late:wsrc,5,0.5418206863495246,0.026490066225165563,151
I2M,cv_first,late:wsrc,6,0.6280909694555112,0.04666666666666667,150
I2M,cv_first,late:wsrc,7,0.7143517541313774,0.06622516556291391,151
I2M,cv_first,late:wsrc,8,0.8083261398849049,0.12,150
I2M,cv_first,late:wsrc,9,0.9150795273651532,0.19205298013245034,151
M2I,death_30d,uni:ehr_only,0,0.050151515151515155,0.00909090909090909,330
M2I,death_30d,uni:ehr_only,1,0.15015151515151515,0.012121212121212121,330
M2I,death_30d,uni:ehr_only,2,0.2501515151515151,0.02727272727272727,330
M2I,death_30d,uni:ehr_only,3,0.35015151515151516,0.02727272727272727,330
M2I,death_30d,uni:ehr_only,4,0.4501515151515152,0.045454545454545456,330
M2I,death_30d,uni:ehr_only,5,0.5501515151515152,0.05757575757575758,330
