outcome,config,class_weight,tuned_C,trajectory,n,ev,seed_mean,seed_sd,seed42,lo,hi,published,vs_published,C
death_30d,C_none,None,True,False,3501,397,0.7166485431976941,0.0026287818689723543,0.7137852514996494,0.7137852514996494,0.7207032771559894,0.7229,-0.006251456802305877,"[0.01, 0.03, 0.1, 0.3, 1.0]"
death_30d,traj_bal,balanced,False,True,3501,397,0.6716704212002389,0.0064757383870278525,0.6791586057804669,0.6618615128930898,0.6791586057804669,0.7229,-0.05122957879976109,1.0
death_30d,traj_none,None,False,True,3501,397,0.6830708405827209,0.006674614304713774,0.6927422810252151,0.6743220740606093,0.6927422810252151,0.7229,-0.03982915941727905,1.0
death_30d,C_traj_bal,balanced,True,True,3501,397,0.7062624970786049,0.004758853881499568,0.7141350074008673,0.7017872445402373,0.7141350074008673,0.7229,-0.016637502921395098,"[0.001, 0.003, 0.01, 0.03]"
death_30d,C_traj_none,None,True,True,3501,397,0.7064770573112777,0.005278667829140593,0.7144206549118389,0.7002965215923551,0.7144206549118389,0.7229,-0.016422942688722242,"[0.003, 0.01, 0.03, 0.1]"
death_30d_inhosp,published,balanced,False,False,3501,242,0.7042575043300308,0.004511400522077476,0.7059915453455021,0.6966265066351539,0.7085692766883316,0.7063,-0.0020424956699692798,1.0
death_30d_inhosp,cw_none,None,False,False,3501,242,0.7168121844402913,0.0032033491385601476,0.7175881665267703,0.7114868171801421,0.7198666629473627,0.7063,0.010512184440291228,1.0
death_30d_inhosp,C_bal,balanced,True,False,3501,242,0.7199227060980528,0.0013939352239965468,0.7193734325035059,0.7181435262553285,0.7219486279571637,0.7063,0.013622706098052717,"[0.001, 0.003, 0.01, 0.03]"
death_30d_inhosp,C_none,None,True,False,3501,242,0.7201846634494686,0.003977820582156535,0.7213463542789325,0.71309837474863,0.7222440590456435,0.7063,0.013884663449468593,"[0.01, 0.03, 0.1, 0.3]"
death_30d_inhosp,traj_bal,balanced,False,True,3501,242,0.6682090789904118,0.0074758676959909755,0.6762582448096688,0.6584322118786121,0.6762582448096688,0.7063,-0.03809092100958822,1.0
death_30d_inhosp,traj_none,None,False,True,3501,242,0.6899152759427801,0.00548116019261041,0.6943949241642343,0.683428471442084,0.6954295669462062,0.7063,-0.016384724057219913,1.0
death_30d_inhosp,C_traj_bal,balanced,True,True,3501,242,0.7148377411313617,0.002736435839696071,0.7153768711692224,0.7117606932106638,0.7179507986782946,0.7063,0.008537741131361631,"[0.0003, 0.001, 0.003]"
death_30d_inhosp,C_traj_none,None,True,True,3501,242,0.7143125584839439,0.003746118256453393,0.7202825487714885,0.7109771034566705,0.7202825487714885,0.7063,0.008012558483943888,"[0.001, 0.003, 0.01]"
cv_first,published,balanced,False,False,3126,172,0.6768992772905481,0.016193822163309387,0.6983180079041426,0.6534596369132906,0.6983180079041426,0.6849,-0.008000722709451846,1.0
cv_first,cw_none,None,False,False,3126,172,0.6976504070161074,0.011247157923363603,0.7138153233298168,0.6824132827384233,0.7138153233298168,0.6849,0.012750407016107412,1.0
cv_first,C_bal,balanced,True,False,3126,172,0.7179921588386264,0.003892571004227139,0.7215895671615941,0.7134315315457165,0.722520508258412,0.6849,0.033092158838626484,"[0.0003, 0.001, 0.003]"
cv_first,C_none,None,True,False,3126,172,0.7154551967375731,0.004585660634039412,0.717267481223725,0.7106938168191337,0.721762765505188,0.6849,0.03055519673757312,"[0.003, 0.01, 0.03, 0.1]"
cv_first,traj_bal,balanced,False,True,3126,172,0.6136003999307207,0.01421370926133919,0.6262104202421627,0.5927988852324794,0.6273578592684732,0.6849,-0.07129960006927927,1.0
cv_first,traj_none,None,False,True,3126,172,0.6489619908362331,0.011749969626935282,0.6594900883311552,0.6323943883736677,0.6611157909653446,0.6849,-0.03593800916376688,1.0
cv_first,C_traj_bal,balanced,True,True,3126,172,0.724781533907512,0.0029533524921371334,0.7213592920911337,0.7213592920911337,0.7281789768701484,0.6849,0.039881533907512035,"[0.0003, 0.001, 0.003]"
cv_first,C_traj_none,None,True,True,3126,172,0.7230715938971202,0.0038300459475640613,0.719491505408512,0.719491505408512,0.7293953016012975,0.6849,0.038171593897120215,"[0.003, 0.01]"
