outcome,direction,unit_drop,md_rate,batch_frac,miss,auc,sd,ehr,gain_vs_ehr
death_30d,M2M,0.8,0.7,0.4,0.0,0.858332161398821,0.004131242916427454,0.8712512744787823,-0.012919113079961297
death_30d,M2M,0.8,0.0,1.0,0.0,0.8462202182142061,0.011828003164443154,0.8712512744787823,-0.025031056264576135
death_30d,M2M,0.8,0.1,1.0,0.0,0.8494708715676969,0.005313352605144862,0.8712512744787823,-0.021780402911085406
death_30d,M2M,0.8,0.2,1.0,0.0,0.8538685558251005,0.005182782042216043,0.8712512744787823,-0.017382718653681795
death_30d,M2M,0.8,0.3,1.0,0.0,0.8588551371749347,0.004170722281297679,0.8712512744787823,-0.012396137303847587
death_30d,M2M,0.8,0.5,1.0,0.0,0.8625320817072741,0.0010198008458636972,0.8712512744787823,-0.008719192771508122
death_30d,M2M,0.8,0.7,1.0,0.0,0.8674673909221952,0.00279936197657968,0.8712512744787823,-0.0037838835565870976
death_30d,M2M,0.2,0.0,0.4,0.0,0.8245350349822452,0.019738929772307994,0.8712512744787823,-0.046716239496537026
death_30d,M2M,0.2,0.1,0.4,0.0,0.8358053826952151,0.010796075166440378,0.8712512744787823,-0.03544589178356716
death_30d,M2M,0.2,0.2,0.4,0.0,0.8363481348662236,0.00769907668779207,0.8712512744787823,-0.03490313961255864
death_30d,M2M,0.2,0.3,0.4,0.0,0.8362770863364156,0.009415643230011482,0.8712512744787823,-0.034974188142366636
death_30d,M2M,0.2,0.5,0.4,0.0,0.8388839081672117,0.012045903220567629,0.8712512744787823,-0.032367366311570556
death_30d,M2M,0.2,0.7,0.4,0.0,0.8408981706102262,0.007033205941726656,0.8712512744787823,-0.030353103868556053
death_30d,M2M,0.2,0.0,1.0,0.0,0.825470385214874,0.020636539396027304,0.8712512744787823,-0.04578088926390822
death_30d,M2M,0.2,0.1,1.0,0.0,0.8262687656013781,0.0067370943833555946,0.8712512744787823,-0.04498250887740418
death_30d,M2M,0.2,0.2,1.0,0.0,0.8267748948188776,0.010884549886119206,0.8712512744787823,-0.0444763796599047
death_30d,M2M,0.2,0.3,1.0,0.0,0.8240867700312907,0.008703935117478979,0.8712512744787823,-0.04716450444749154
death_30d,M2M,0.2,0.5,1.0,0.0,0.826448218073574,0.007979035005808582,0.8712512744787823,-0.04480305640520821
death_30d,M2M,0.2,0.7,1.0,0.0,0.8310905436604203,0.0032946132735989413,0.8712512744787823,-0.04016073081836191
death_30d,M2M,0.8,0.0,1.0,0.0,0.8455126627524053,0.011657735632226019,0.8712512744787823,-0.025738611726376925
death_30d,M2M,0.8,0.0,1.0,0.25,0.8454152456960705,0.013201758221110397,0.8712512744787823,-0.02583602878271174
death_30d,M2M,0.8,0.0,1.0,0.5,0.8455141276705458,0.012151953984483094,0.8712512744787823,-0.025737146808236466
death_30d,M2M,0.8,0.0,1.0,0.75,0.8523904534214628,0.01263052579916368,0.8712512744787823,-0.018860821057319455
death_30d,M2M,0.8,0.2,1.0,0.0,0.8532650095512663,0.0041406944545338545,0.8712512744787823,-0.017986264927515982
death_30d,M2M,0.8,0.2,1.0,0.25,0.8543761499607401,0.0034252172483199323,0.8712512744787823,-0.016875124518042184
death_30d,M2M,0.8,0.2,1.0,0.5,0.8533968521838999,0.003335506660075152,0.8712512744787823,-0.01785442229488232
death_30d,M2M,0.8,0.2,1.0,0.75,0.8575235265853344,0.003953249750306168,0.8712512744787823,-0.013727747893447884
death_30d,M2M,0.8,0.5,1.0,0.0,0.8625320817072741,0.0010198008458636972,0.8712512744787823,-0.008719192771508122
death_30d,M2M,0.8,0.5,1.0,0.25,0.8628477715665248,0.002153452462149598,0.8712512744787823,-0.008403502912257443
death_30d,M2M,0.8,0.5,1.0,0.5,0.8614150816252389,0.0030381998740502594,0.8712512744787823,-0.009836192853543313
death_30d,M2M,0.8,0.5,1.0,0.75,0.8631334306038979,0.0033029513079381803,0.8712512744787823,-0.008117843874884345
