test,featset,outcome,method,k,nfeat,events,ev_per_feat,has_ecg,mean,sd,vs_ref
subsample,ehr+ctpa,death_30d,pca8,8.0,74,83,1.1216216216216217,0,0.8714626700873576,0.004888921961614445,0.003306758029422263
subsample,ehr+ctpa,death_30d,pca10,10.0,74,83,1.1216216216216217,0,0.8719335563277368,0.0031849916952712133,0.003777644269801539
outcomes,ehr+ctpa,death_30d_inhosp,pca8,8.0,74,83,1.1216216216216217,0,0.8993917718523807,0.005329022179697731,0.02121156874762442
outcomes,ehr+ctpa,death_30d_inhosp,pca10,10.0,74,83,1.1216216216216217,0,0.89924902442998,0.003524172381031634,0.021068821325223697
outcomes,ehr+ctpa,death_30d_inhosp,late,,74,83,1.1216216216216217,0,0.8781802031047563,0.009452499951048769,
outcomes,ehr+ecg,death_30d_inhosp,pca8,8.0,292,83,0.2842465753424658,1,0.7319195649306822,0.009323400664160788,-0.14134593751697067
outcomes,ehr+ecg,death_30d_inhosp,pca10,10.0,292,83,0.2842465753424658,1,0.7406853427877639,0.011491265109403695,-0.132580159659889
outcomes,ehr+ecg,death_30d_inhosp,late,,292,83,0.2842465753424658,1,0.8732655024476529,0.009656368701753477,
outcomes,ecg+ctpa,death_30d_inhosp,pca8,8.0,310,83,0.267741935483871,1,0.7132080155780882,0.010275845389210236,-0.0702844863032297
outcomes,ecg+ctpa,death_30d_inhosp,pca10,10.0,310,83,0.267741935483871,1,0.7077324106470957,0.01082578320275356,-0.07576009123422223
outcomes,ecg+ctpa,death_30d_inhosp,late,,310,83,0.267741935483871,1,0.7834925018813179,0.006798943646376552,
outcomes,all3,death_30d_inhosp,pca8,8.0,338,83,0.2455621301775148,1,0.7429328388893629,0.009890024276302579,-0.13739206665683978
outcomes,all3,death_30d_inhosp,pca10,10.0,338,83,0.2455621301775148,1,0.7611564092816857,0.01043282489935503,-0.11916849626451698
outcomes,all3,death_30d_inhosp,late,,338,83,0.2455621301775148,1,0.8803249055462027,0.008444625160580638,
outcomes,ehr+ctpa,death_30d,pca8,8.0,74,152,2.054054054054054,0,0.8763641119307704,0.006125472310368728,-0.00504991842814595
outcomes,ehr+ctpa,death_30d,pca10,10.0,74,152,2.054054054054054,0,0.8781294332529436,0.005260829793413374,-0.003284597105972731
outcomes,ehr+ctpa,death_30d,late,,74,152,2.054054054054054,0,0.8814140303589163,0.005271341594529673,
outcomes,ehr+ecg,death_30d,pca8,8.0,292,152,0.5205479452054794,1,0.721903816144134,0.0063966714922046326,-0.14611004220456802
outcomes,ehr+ecg,death_30d,pca10,10.0,292,152,0.5205479452054794,1,0.7371378032345013,0.007390108712334044,-0.13087605511420075
outcomes,ehr+ecg,death_30d,late,,292,152,0.5205479452054794,1,0.868013858348702,0.004805528956652736,
outcomes,ecg+ctpa,death_30d,pca8,8.0,310,152,0.49032258064516127,1,0.7057193396226416,0.007943417256238209,-0.10998701056887494
outcomes,ecg+ctpa,death_30d,pca10,10.0,310,152,0.49032258064516127,1,0.7041251418640941,0.007522667381501228,-0.11158120832742235
outcomes,ecg+ctpa,death_30d,late,,310,152,0.49032258064516127,1,0.8157063501915165,0.0058149878762731285,
outcomes,all3,death_30d,pca8,8.0,338,152,0.44970414201183434,1,0.7384354163711164,0.006563737763573487,-0.14645450595829201
outcomes,all3,death_30d,pca10,10.0,338,152,0.44970414201183434,1,0.7655553979287842,0.008521420198125391,-0.1193345244006242
outcomes,all3,death_30d,late,,338,152,0.44970414201183434,1,0.8848899223294084,0.004931673826306309,
outcomes,ehr+ctpa,composite_30d,pca8,8.0,74,219,2.9594594594594597,0,0.8285644312538871,0.004982250369637659,-0.015422318036368399
outcomes,ehr+ctpa,composite_30d,pca10,10.0,74,219,2.9594594594594597,0,0.829671020195087,0.004621564670499883,-0.014315729095168539
outcomes,ehr+ctpa,composite_30d,late,,74,219,2.9594594594594597,0,0.8439867492902555,0.0043932380772465345,
outcomes,ehr+ecg,composite_30d,pca8,8.0,292,219,0.75,1,0.7307070375060823,0.0056621763077158065,-0.10982750231210703
outcomes,ehr+ecg,composite_30d,pca10,10.0,292,219,0.75,1,0.7476716195705765,0.009509629520715181,-0.09286292024761289
outcomes,ehr+ecg,composite_30d,late,,292,219,0.75,1,0.8405345398181894,0.0033281396507241945,
