direction,outcome,arch,seed,auc,ap
M2M,composite_30d,inter:lowrank,13,0.8005763642749945,0.35738162148745684
M2M,composite_30d,inter:bilinear,42,0.7927834722355269,0.36474700873536847
M2M,composite_30d,inter:bilinear,7,0.7751125586742026,0.3446404559794877
M2M,composite_30d,inter:bilinear,13,0.7756649742951113,0.34394854230338884
M2M,composite_30d,inter:tucker,42,0.792896829198199,0.3617926217710814
M2M,composite_30d,inter:tucker,7,0.7681387106044639,0.3411160012906686
M2M,composite_30d,inter:tucker,13,0.7949707826420156,0.36862861409668773
M2M,composite_30d,inter:crossattn,42,0.8156368745409841,0.3805486848553938
M2M,composite_30d,inter:crossattn,7,0.7963725771944952,0.35796484635030335
M2M,composite_30d,inter:crossattn,13,0.8051409777437174,0.35090883212371404
M2M,cv_first,inter:plain,42,0.6912771439087229,0.11370972086470973
M2M,cv_first,inter:plain,7,0.7077015090172984,0.1063705483802277
M2M,cv_first,inter:plain,13,0.7029352226720648,0.11560507679213847
M2M,cv_first,inter:gated,42,0.7036253220463746,0.11142823929670514
M2M,cv_first,inter:gated,7,0.713571954361428,0.10765812053512801
M2M,cv_first,inter:gated,13,0.706532940743467,0.11562939318595045
M2M,cv_first,inter:moddrop,42,0.6914427677585573,0.12876436953838954
M2M,cv_first,inter:moddrop,7,0.7093945528156054,0.10637378285808068
M2M,cv_first,inter:moddrop,13,0.7104251012145749,0.11648822140052746
M2M,cv_first,inter:lowrank,42,0.6850386455649613,0.0966747887839653
M2M,cv_first,inter:lowrank,7,0.6914795730585204,0.09982853046265593
M2M,cv_first,inter:lowrank,13,0.7123757821126243,0.10799707755917404
M2M,cv_first,inter:bilinear,42,0.717372101582628,0.11692077261393632
M2M,cv_first,inter:bilinear,7,0.6688811188811189,0.09835188707129217
M2M,cv_first,inter:bilinear,13,0.6682462274567538,0.1016030400986454
M2M,cv_first,inter:tucker,42,0.6859495767390504,0.10495260245359612
M2M,cv_first,inter:tucker,7,0.6711998527788001,0.09858134793386213
M2M,cv_first,inter:tucker,13,0.7179425837320575,0.12011579624478849
M2M,cv_first,inter:crossattn,42,0.7169304379830694,0.10776523146809391
M2M,cv_first,inter:crossattn,7,0.7147405226352594,0.126021885636945
M2M,cv_first,inter:crossattn,13,0.7092105263157895,0.11522718300340185
I2I,death_30d,inter:plain,42,0.7364219123527188,0.20373064254922707
I2I,death_30d,inter:plain,7,0.7539066451568249,0.21363246728486185
I2I,death_30d,inter:plain,13,0.7331847876435542,0.22239902140729978
I2I,death_30d,inter:gated,42,0.7308274900037801,0.1991278042039571
I2I,death_30d,inter:gated,7,0.7338716118005975,0.2028642086398817
I2I,death_30d,inter:gated,13,0.7363234143146933,0.22002681778141434
I2I,death_30d,inter:moddrop,42,0.7351986732048068,0.2139317757988881
I2I,death_30d,inter:moddrop,7,0.741961761464373,0.21535733555835385
I2I,death_30d,inter:moddrop,13,0.7423371188525245,0.20946281579609313
I2I,death_30d,inter:lowrank,42,0.7385955244621208,0.2102545752610667
I2I,death_30d,inter:lowrank,7,0.7180240761150245,0.18756406100709652
I2I,death_30d,inter:lowrank,13,0.7380670957986594,0.21876480330387726
I2I,death_30d,inter:bilinear,42,0.7498602392703692,0.20581866075549562
I2I,death_30d,inter:bilinear,7,0.7634862448820953,0.21119184106801192
I2I,death_30d,inter:bilinear,13,0.7092630749490205,0.1896677363774663
I2I,death_30d,inter:tucker,42,0.7343807401728241,0.1966355665609766
I2I,death_30d,inter:tucker,7,0.7413920701093062,0.21062162401527415
I2I,death_30d,inter:tucker,13,0.7360638586739502,0.20710614169439048
I2I,death_30d,inter:crossattn,42,0.7412682820344902,0.19686123997847468
I2I,death_30d,inter:crossattn,7,0.743126434211297,0.20382176426396525
I2I,death_30d,inter:crossattn,13,0.727784699261531,0.2168755576820809
I2I,composite_30d,inter:plain,42,0.6963013868470925,0.2799533424947376
I2I,composite_30d,inter:plain,7,0.7143966418108716,0.29811274714710323
I2I,composite_30d,inter:plain,13,0.7148876175631874,0.29187862296100225
I2I,composite_30d,inter:gated,42,0.6896392072123133,0.26396016551355084
I2I,composite_30d,inter:gated,7,0.7083433996351335,0.28044258131412797
I2I,composite_30d,inter:gated,13,0.712128092952408,0.28812578625635166
I2I,composite_30d,inter:moddrop,42,0.7045516215306683,0.2849382250290649
I2I,composite_30d,inter:moddrop,7,0.7104022387927522,0.28729190250405345
I2I,composite_30d,inter:moddrop,13,0.7204789316140917,0.29190903174595145
I2I,composite_30d,inter:lowrank,42,0.6980569971129492,0.2748850478521644
I2I,composite_30d,inter:lowrank,7,0.6875963088258736,0.28038550786774946
I2I,composite_30d,inter:lowrank,13,0.6917394923749978,0.2741068353417806
I2I,composite_30d,inter:bilinear,42,0.6893161409164174,0.26659112530622703
I2I,composite_30d,inter:bilinear,7,0.6951826989496803,0.26663992976528444
I2I,composite_30d,inter:bilinear,13,0.6923317805841407,0.2683362372840929
I2I,composite_30d,inter:tucker,42,0.6887564427283517,0.26604911040753854
I2I,composite_30d,inter:tucker,7,0.6985897731096902,0.2765943464223033
I2I,composite_30d,inter:tucker,13,0.7220482119768327,0.3008988283346812
I2I,composite_30d,inter:crossattn,42,0.7018728634938629,0.27447615112168955
I2I,composite_30d,inter:crossattn,7,0.6992171310154272,0.28565795956348067
I2I,composite_30d,inter:crossattn,13,0.6995299243698968,0.28140333176996546
I2I,cv_first,inter:plain,42,0.6704792784734646,0.17716907788450145
I2I,cv_first,inter:plain,7,0.6665896442059233,0.16648721701943758
I2I,cv_first,inter:plain,13,0.6833867521367522,0.17305883518470622
I2I,cv_first,inter:gated,42,0.68913610614192,0.17974855773911563
I2I,cv_first,inter:gated,7,0.7001018684158219,0.17441129813615155
I2I,cv_first,inter:gated,13,0.7022510435301131,0.18801228610741172
I2I,cv_first,inter:moddrop,42,0.6680580401510634,0.17441505041146826
I2I,cv_first,inter:moddrop,7,0.68248732856291,0.17616533800205542
I2I,cv_first,inter:moddrop,13,0.6653659809183066,0.17398913269432345
I2I,cv_first,inter:lowrank,42,0.7094191015702643,0.1959429879714809
I2I,cv_first,inter:lowrank,7,0.6768622043331346,0.16617032820736133
I2I,cv_first,inter:lowrank,13,0.6934642715165971,0.17562036377026002
I2I,cv_first,inter:bilinear,42,0.7007888590737428,0.18010378211848307
I2I,cv_first,inter:bilinear,7,0.6954295865633074,0.19086201216151297
I2I,cv_first,inter:bilinear,13,0.68706643808388,0.17476611726745395
I2I,cv_first,inter:tucker,42,0.7035852713178294,0.18332908306484902
I2I,cv_first,inter:tucker,7,0.6871447028423773,0.16716058329574957
I2I,cv_first,inter:tucker,13,0.6994359968197178,0.1777119760149918
I2I,cv_first,inter:crossattn,42,0.67663610614192,0.17536782775026652
I2I,cv_first,inter:crossattn,7,0.676737974557742,0.18163707885829242
I2I,cv_first,inter:crossattn,13,0.6721315344861856,0.1799568433275056
