outcome,stage,combo,method,mean,sd,note
cv_first,A,ecg+ctpa,late,0.7192771979348513,0.017288349195646806,
cv_first,A,ecg+ctpa,block,0.7020892916836905,0.017265968748396886,
cv_first,A,ecg+ctpa,rf_raw,0.6913846896705419,0.015389807360673264,
cv_first,A,ecg+ctpa,rf_pca,0.6693106266017903,0.011792606320493686,
cv_first,A,ecg+ctpa,rf_ccaaug,0.6927469078483081,0.020408250778482552,
cv_first,A,ehr+ecg+ctpa,late,0.8021487204249155,0.009637181512948977,
cv_first,A,ehr+ecg+ctpa,block,0.7888023251495004,0.006866519347047871,
cv_first,A,ehr+ecg+ctpa,rf_raw,0.721321918062623,0.012483683698211935,
cv_first,A,ehr+ecg+ctpa,rf_pca,0.6864335326672361,0.01015324605436888,
cv_first,A,ehr+ecg+ctpa,rf_ccaaug,0.7619312483749954,0.012887857026214396,
cv_first,B,models,mean,0.7951751290717973,,
cv_first,B,models,grid,0.7989126397503994,,
cv_first,C,des,ola_ehr,0.7950265572187348,,
cv_first,C,des,lca_ehr,0.7950915574044497,,
cv_first,C,des,ola_full,0.7951751290717973,,
cv_first,C,des,lca_full,0.7951287003677153,,
cv_first,C,des,auto_strat,0.8007744307840879,,age
cv_first,C,des,des_meta,0.7655350443858411,,
