outcome,stage,leaf,depth,mean,sd,name,vs_127,vs_117,slope,slope_platt,brier,brier_platt
composite_30d,A,50.0,-1.0,0.8598331415976256,0.0012422091073384161,,,,,,,
composite_30d,B,25.0,-1.0,0.8605797830002933,0.0020075365343041615,late,-0.006620216999706718,7.978300029320984e-05,,,,
composite_30d,B,25.0,-1.0,0.8600174656728635,0.0016260459815237577,block,0.0028174656728635616,-0.000482534327136519,,,,
composite_30d,B,25.0,-1.0,0.8628235741469371,,nnls,-0.0066764258530629395,0.0023235741469370685,,,,
composite_30d,C,,,,,late,,,0.1272222700367573,0.9761523324987627,0.2217198449817299,0.09328050248058627
composite_30d,C,,,,,block,,,1.5520492576523905,0.9846106868355359,0.11353472832616648,0.089710973805388
composite_30d,C,,,,,nnls,,,0.9178312520245993,0.9835822809551182,0.2502536669644734,0.09113756340719206
cv_first,A,1.0,6.0,0.8030624373212495,0.009875538373144763,,,,,,,
cv_first,A,1.0,12.0,0.7933393381123945,0.007244484508420696,,,,,,,
cv_first,A,1.0,-1.0,0.7853359581027374,0.005672333127241756,,,,,,,
cv_first,A,5.0,6.0,0.8046670133343238,0.009252159498229542,,,,,,,
cv_first,A,5.0,12.0,0.797622850351001,0.008365861403383355,,,,,,,
cv_first,A,5.0,-1.0,0.7994614270326487,0.006894484655347388,,,,,,,
cv_first,A,10.0,6.0,0.8066318760910745,0.00813282585747586,,,,,,,
cv_first,A,10.0,12.0,0.8066615904616871,0.006431533614485144,,,,,,,
cv_first,A,10.0,-1.0,0.807118448909854,0.00588100282407221,,,,,,,
cv_first,A,25.0,6.0,0.8123611781747948,0.004170106172810205,,,,,,,
cv_first,A,25.0,12.0,0.8135181814805185,0.0034449885682112133,,,,,,,
cv_first,A,25.0,-1.0,0.8135126100360285,0.003448183303659882,,,,,,,
cv_first,A,50.0,6.0,0.8175519072911637,0.0038466420899951185,,,,,,,
cv_first,A,50.0,12.0,0.8178509081454518,0.0038284232151613944,,,,,,,
cv_first,A,50.0,-1.0,0.8178509081454518,0.0038284232151613944,,,,,,,
cv_first,B,50.0,12.0,0.805946588418824,0.00942498880976665,late,-0.009953411581175908,-0.012053411581175899,,,,
cv_first,B,50.0,12.0,0.8167347620993203,0.0047435763615468135,block,0.023334762099320283,-0.0012652379006796721,,,,
cv_first,B,50.0,12.0,0.8184544812985179,,nnls,0.0030544812985179304,0.0004544812985179947,,,,
cv_first,C,,,,,late,,,0.10679975277018326,0.9634082118601663,0.2583320239117185,0.045491990391353744
cv_first,C,,,,,block,,,1.2975386411513405,0.9504019046121398,0.09187320944122804,0.045405165601591746
cv_first,C,,,,,nnls,,,0.6523459573933497,0.9693416964568689,0.29999620625248674,0.0462507152928907
