direction,outcome,arch,thresh,nb
I2M,death_30d,late:wsrc,0.19,-0.09516429710486715
I2M,death_30d,late:wsrc,0.2,-0.1059733171619163
I2M,death_30d,late:wsrc,0.21000000000000002,-0.11545163543689696
I2M,death_30d,late:wsrc,0.22,-0.12556172349986783
I2M,death_30d,late:wsrc,0.23,-0.13684799130523811
I2M,death_30d,late:wsrc,0.24000000000000002,-0.1455108359133127
I2M,death_30d,late:wsrc,0.25,-0.15362846169395594
I2M,death_30d,late:wsrc,0.26,-0.16326028879091342
I2M,death_30d,late:wsrc,0.27,-0.17175207888550142
I2M,death_30d,late:wsrc,0.28,-0.1811872515329156
I2M,death_30d,late:wsrc,0.29000000000000004,-0.18992304341513
I2M,death_30d,late:wsrc,0.3,-0.1980421034393139
I2M,death_30d,late:wsrc,0.31,-0.20600979073834824
I2M,death_30d,late:wsrc,0.32,-0.21324867120893237
I2M,death_30d,late:wsrc,0.33,-0.22296642922440557
I2M,death_30d,late:wsrc,0.34,-0.22983626440266836
I2M,death_30d,late:wsrc,0.35000000000000003,-0.2367868638335588
I2M,death_30d,late:wsrc,0.36000000000000004,-0.24480745906610074
I2M,death_30d,late:wsrc,0.37,-0.2509842424942486
I2M,death_30d,late:wsrc,0.38,-0.2542890119133786
I2M,death_30d,late:wsrc,0.39,-0.26290151010547874
I2M,death_30d,late:wsrc,0.4,-0.2666262381241156
I2M,death_30d,late:wsrc,0.41000000000000003,-0.2745372131029592
I2M,death_30d,late:wsrc,0.42000000000000004,-0.2810480751134439
I2M,death_30d,late:wsrc,0.43,-0.2882767865692125
I2M,death_30d,late:wsrc,0.44,-0.29645672702070514
I2M,death_30d,late:wsrc,0.45,-0.30007166877997676
I2M,death_30d,late:wsrc,0.46,-0.3026974822002111
I2M,death_30d,late:wsrc,0.47000000000000003,-0.30417520052175706
I2M,death_30d,late:wsrc,0.48000000000000004,-0.3107710967019639
I2M,death_30d,late:wsrc,0.49,-0.3124175079370741
I2M,death_30d,late:wsrc,0.5,-0.3159490600363857
I2M,death_30d,treat_all,0.01,0.08300714850138743
I2M,death_30d,treat_none,0.01,0.0
I2M,death_30d,treat_all,0.02,0.0736500785881363
I2M,death_30d,treat_none,0.02,0.0
I2M,death_30d,treat_all,0.03,0.06410007939832327
I2M,death_30d,treat_none,0.03,0.0
I2M,death_30d,treat_all,0.04,0.05435112189205579
I2M,death_30d,treat_none,0.04,0.0
I2M,death_30d,treat_all,0.05,0.04439692317513007
I2M,death_30d,treat_none,0.05,0.0
I2M,death_30d,treat_all,0.060000000000000005,0.034230932996142084
I2M,death_30d,treat_none,0.060000000000000005,0.0
I2M,death_30d,treat_all,0.06999999999999999,0.023846319372444705
I2M,death_30d,treat_none,0.06999999999999999,0.0
I2M,death_30d,treat_all,0.08,0.013235953278666918
I2M,death_30d,treat_none,0.08,0.0
I2M,death_30d,treat_all,0.09,0.002392392325685236
I2M,death_30d,treat_none,0.09,0.0
I2M,death_30d,treat_all,0.09999999999999999,-0.008692136648473806
I2M,death_30d,treat_none,0.09999999999999999,0.0
I2M,death_30d,treat_all,0.11,-0.020025756161378014
I2M,death_30d,treat_none,0.11,0.0
I2M,death_30d,treat_all,0.12,-0.03161695793593912
I2M,death_30d,treat_none,0.12,0.0
I2M,death_30d,treat_all,0.13,-0.04347462411911085
I2M,death_30d,treat_none,0.13,0.0
I2M,death_30d,treat_all,0.14,-0.05560804998096097
I2M,death_30d,treat_none,0.14,0.0
I2M,death_30d,treat_all,0.15000000000000002,-0.06802696821603113
I2M,death_30d,treat_none,0.15000000000000002,0.0
I2M,death_30d,treat_all,0.16,-0.08074157498050769
I2M,death_30d,treat_none,0.16,0.0
I2M,death_30d,treat_all,0.17,-0.09376255781159815
I2M,death_30d,treat_none,0.17,0.0
I2M,death_30d,treat_all,0.18000000000000002,-0.10710112558978835
I2M,death_30d,treat_none,0.18000000000000002,0.0
I2M,death_30d,treat_all,0.19,-0.12076904072052644
I2M,death_30d,treat_none,0.19,0.0
I2M,death_30d,treat_all,0.2,-0.13477865372953304
I2M,death_30d,treat_none,0.2,0.0
I2M,death_30d,treat_all,0.21000000000000002,-0.14914294048560311
I2M,death_30d,treat_none,0.21000000000000002,0.0
I2M,death_30d,treat_all,0.22,-0.16387554228670054
I2M,death_30d,treat_none,0.22,0.0
