direction,outcome,rung,nfeat,frac,ehr,ctpa,gap,fused,gain,lo,hi,weight_ehr,sig
I2M,composite_30d,age_only,1,1.0,0.6782258837053358,0.7093607305936074,-0.031134846888271617,0.7397467828974679,0.06071451601992453,0.021554763754814767,0.10042930119912466,0.30000000000000004,1
M2I,death_30d,full,28,1.0,0.7719883559346399,0.7158218463324123,0.05616650960222758,0.7955526804776889,0.023652603244290894,0.014833334818702932,0.03315127969245604,0.75,1
M2I,death_30d,half_rows,28,0.5,0.7724728597973602,0.7158218463324123,0.05665101346494794,0.7949916409773136,0.022659249507143726,0.01328528004077494,0.0327408139777835,0.7333333333333334,1
M2I,death_30d,quarter_rows,28,0.25,0.7633790949893783,0.7158218463324123,0.04755724865696598,0.7770929502025865,0.013762563482217187,0.009829025924475035,0.01766462781320543,0.8833333333333333,1
M2I,death_30d,eighth_rows,28,0.125,0.752449805932244,0.7158218463324123,0.03662795959983167,0.7867304508015612,0.034485566936375195,0.01877984679643275,0.051113060124977176,0.6333333333333334,1
M2I,death_30d,no_vitals,23,1.0,0.7336060664142988,0.7158218463324123,0.017784220081886515,0.7686613850421411,0.03516940696147101,0.02364024368747497,0.047281415471590316,0.7000000000000001,1
M2I,death_30d,labs_only,18,1.0,0.7022830247948844,0.7158218463324123,-0.013538821537527945,0.7604853823587352,0.0584134174832199,0.03855894076482802,0.07985400184095084,0.55,1
M2I,death_30d,age_flags,5,1.0,0.634462466923294,0.7158218463324123,-0.0813593794091183,0.7212206036598677,0.08689029230550849,0.06468086779779049,0.1088384752141997,0.5,1
M2I,death_30d,age_only,1,1.0,0.5898681457345026,0.7158218463324123,-0.12595370059790967,0.7254946198774365,0.13542188809634825,0.10002967410676428,0.17066496413953525,0.30000000000000004,1
M2I,composite_30d,full,28,1.0,0.7408009351919091,0.648886448573301,0.09191448661860813,0.751952744469438,0.01121524886513905,0.004085370461216209,0.018624832669774452,0.75,1
M2I,composite_30d,half_rows,28,0.5,0.7344830762145982,0.648886448573301,0.08559662764129716,0.7478563205157726,0.013451534010831089,0.005939385827441909,0.021234726017282966,0.75,1
M2I,composite_30d,quarter_rows,28,0.25,0.7286944508404329,0.648886448573301,0.07980800226713192,0.7419330841849837,0.013287247730473108,0.007116082252404257,0.01957045675954852,0.8000000000000002,1
M2I,composite_30d,eighth_rows,28,0.125,0.7252395543668857,0.648886448573301,0.07635310579358467,0.739159389999823,0.014068573408474318,0.003593238078369979,0.0248576369237513,0.6833333333333332,1
M2I,composite_30d,no_vitals,23,1.0,0.7193655573070724,0.648886448573301,0.07047910873377139,0.7359010963708178,0.0166108503549886,0.00892332373005075,0.024330735056329916,0.75,1
M2I,composite_30d,labs_only,18,1.0,0.6659246532882269,0.648886448573301,0.017038204714925897,0.697057333640341,0.03125472913428636,0.01799258958401245,0.045257933860160096,0.6000000000000001,1
M2I,composite_30d,age_flags,5,1.0,0.6813836589383446,0.648886448573301,0.032497210365043605,0.7100061991887919,0.028726777439656365,0.016785940243970433,0.040569692506378804,0.65,1
M2I,composite_30d,age_only,1,1.0,0.5886370640641881,0.648886448573301,-0.06024938450911288,0.6625508776280132,0.07386226423047444,0.04967183280533395,0.0976940508792334,0.4,1
