outcome,a,b,spearman,err_corr,disagree,yule_q,kappa,joint_miss,auc_a,auc_b,gap
death_30d_inhosp,early,late,0.8221160470086996,0.8467212418763819,0.16503667481662593,0.9239920838989926,0.6673499603127387,0.024096385542168676,0.852217627755064,0.8800585471312165,0.027840919376152407
death_30d_inhosp,pca10,inter,0.7936190112080997,0.8215817611890263,0.19437652811735942,0.888760016638459,0.6082168961772666,0.024096385542168676,0.8984631378055686,0.8339113052338135,0.06455183257175512
death_30d_inhosp,pca10,late,0.8021966416215999,0.8260613858991354,0.18092909535452323,0.9058597502401537,0.635156536060478,0.024096385542168676,0.8984631378055686,0.8800585471312165,0.018404590674352184
death_30d_inhosp,inter,late,0.7278218824088725,0.7680606688865942,0.2078239608801956,0.8697671483845961,0.5811994512767152,0.012048192771084338,0.8339113052338135,0.8800585471312165,0.046147241897402935
death_30d,ehr,ecg,0.42054134379090863,0.5934958762212732,0.343520782396088,0.5557670087677564,0.2991749547231251,0.006578947368421052,0.8644991015274036,0.7185800586371589,0.1459190428902447
death_30d,ehr,ctpa,0.38086722962901015,0.5424283243786385,0.36674816625916873,0.4794310238546622,0.2514686952861439,0.0,0.8644991015274036,0.7910548777604388,0.0734442237669648
death_30d,ehr,early,0.7810159339187219,0.8274754483070943,0.19682151589242053,0.8817108121428963,0.5946531569519423,0.006578947368421052,0.8644991015274036,0.8654182626377264,0.0009191611103227526
death_30d,ehr,pca10,0.8156405634890219,0.8539111875824896,0.18337408312958436,0.8999457387096488,0.6225103217430362,0.0,0.8644991015274036,0.8811917766113396,0.016692675083936015
death_30d,ehr,inter,0.80775141956059,0.8513729558255713,0.15892420537897312,0.9284948537481409,0.6732644671267306,0.019736842105263157,0.8644991015274036,0.8467084574644157,0.017790644062987915
death_30d,ehr,late,0.9168216640208497,0.9339154097519468,0.11858190709046455,0.9630559018914528,0.7552575246297061,0.0,0.8644991015274036,0.8864304038397881,0.021931302312384493
death_30d,ecg,ctpa,0.2403579407416809,0.4893780185591623,0.421760391198044,0.2867005465528814,0.14494773519163762,0.039473684210526314,0.7185800586371589,0.7910548777604388,0.07247481912327991
death_30d,ecg,early,0.7509330053446214,0.8271983658754917,0.21638141809290953,0.8559553552665374,0.558681525012497,0.03289473684210526,0.7185800586371589,0.8654182626377264,0.14683820400056746
death_30d,ecg,pca10,0.454397408106048,0.6130872026968684,0.33007334963325186,0.5969327303372661,0.32699515495017817,0.019736842105263157,0.7185800586371589,0.8811917766113396,0.16261171797418073
death_30d,ecg,inter,0.42288455036850103,0.598228778614356,0.34596577017114916,0.548643922975504,0.29519686285971763,0.02631578947368421,0.7185800586371589,0.8467084574644157,0.1281283988272568
death_30d,ecg,late,0.5665439248735328,0.6929063560124685,0.293398533007335,0.6977470941819863,0.40074357612497935,0.013157894736842105,0.7185800586371589,0.8864304038397881,0.1678503452026292
death_30d,ctpa,early,0.6112015123015345,0.711042669541064,0.2775061124694376,0.7357608358332471,0.4337771164061499,0.02631578947368421,0.7910548777604388,0.8654182626377264,0.07436338487728755
death_30d,ctpa,pca10,0.6708242233759902,0.7544797073169275,0.25183374083129584,0.7914487849892341,0.48630934598242864,0.039473684210526314,0.7910548777604388,0.8811917766113396,0.09013689885090082
death_30d,ctpa,inter,0.5774849686667299,0.6907372031477497,0.2982885085574572,0.684817823457125,0.39208459987451344,0.03289473684210526,0.7910548777604388,0.8467084574644157,0.055653579703976885
death_30d,ctpa,late,0.677951959172659,0.7589888231451515,0.2628361858190709,0.7689474832223276,0.46292348942459804,0.013157894736842105,0.7910548777604388,0.8864304038397881,0.0953755260793493
death_30d,early,pca10,0.8482626415615966,0.8785824778361808,0.15770171149144255,0.9295798490029454,0.6754946521597402,0.02631578947368421,0.8654182626377264,0.8811917766113396,0.015773513973613262
death_30d,early,inter,0.805767029427618,0.8485943321244492,0.18092909535452323,0.9033283866864532,0.6281726823754884,0.03289473684210526,0.8654182626377264,0.8467084574644157,0.018709805173310667
death_30d,early,late,0.9124276564064611,0.9296305067107485,0.12224938875305623,0.9604989604989606,0.7478032989055033,0.013157894736842105,0.8654182626377264,0.8864304038397881,0.02101214120206174
death_30d,pca10,inter,0.8038740709548652,0.8462796609922433,0.1845965770171149,0.8987004213408238,0.6207870515347443,0.019736842105263157,0.8811917766113396,0.8467084574644157,0.03448331914692393
death_30d,pca10,late,0.9040801152601851,0.9223722299225936,0.1234718826405868,0.9596699002162312,0.7453975063020418,0.013157894736842105,0.8811917766113396,0.8864304038397881,0.005238627228448478
death_30d,inter,late,0.8572067292497758,0.8877472231791307,0.14058679706601468,0.9461346796931349,0.7105021819278519,0.006578947368421052,0.8467084574644157,0.8864304038397881,0.03972194637537241
composite_30d,ehr,ecg,0.5183157463008317,0.7023202483220711,0.31295843520782396,0.6342792326336669,0.3492695099043053,0.0319634703196347,0.8335830731205872,0.7350513282397158,0.09853174488087146
composite_30d,ehr,ctpa,0.400999201460382,0.6305304315469872,0.3422982885085575,0.5491547088538885,0.2911776311208424,0.0273972602739726,0.8335830731205872,0.7320582103163478,0.10152486280423945
composite_30d,ehr,early,0.8194004181772762,0.8765570815537147,0.17114914425427874,0.9122216264842662,0.6396878259351142,0.0502283105022831,0.8335830731205872,0.8295399739411301,0.00404309917945711
composite_30d,ehr,pca10,0.8653291476051012,0.9081767934816734,0.14547677261613692,0.9394727109872186,0.6930044357960702,0.0410958904109589,0.8335830731205872,0.8281704331723182,0.005412639948269016
composite_30d,ehr,inter,0.828181587393442,0.8827565017544474,0.15892420537897312,0.9257760762271262,0.6646266945671354,0.0319634703196347,0.8335830731205872,0.8294991562554714,0.0040839168651157776
composite_30d,ehr,late,0.9639880286485766,0.9750326414732611,0.06968215158924206,0.9881110490304734,0.8526002652347991,0.045662100456621,0.8335830731205872,0.8495868283476679,0.01600375522708064
composite_30d,ecg,ctpa,0.23981825486188724,0.5667686943269317,0.41687041564792177,0.28991957284720676,0.14539613872170032,0.045662100456621,0.7350513282397158,0.7320582103163478,0.0029931179233679828
composite_30d,ecg,early,0.780418570251985,0.8667671454287831,0.22127139364303178,0.843771525523682,0.5410683648751062,0.0593607305936073,0.7350513282397158,0.8295399739411301,0.09448864570141435
composite_30d,ecg,pca10,0.46291315612120626,0.6692212169064747,0.3276283618581907,0.5909267191230081,0.3193376066717484,0.0273972602739726,0.7350513282397158,0.8281704331723182,0.09311910493260245
