direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,pgt
M2M,composite_30d,uni:ehr_only,1649,219,0.834744707347447,0.41284417495345543,0.834744707347447,0.0,0.0,0.0,0.5
M2M,composite_30d,uni:ctpa_only,1649,219,0.7004326723504806,0.25950622996950445,0.834744707347447,-0.1348024175717278,-0.17372719557100025,-0.09720694413575319,0.0
M2M,cv_first,early:plain,1506,76,0.7592105263157896,0.1402801348379712,0.7750782112624218,-0.016004929165264234,-0.06263982801200405,0.024421837432841598,0.2325
M2M,cv_first,early:blockstd,1506,76,0.7790117776959882,0.14684594980583263,0.7750782112624218,0.0038380850042431707,-0.02645338997575531,0.03485907338766666,0.5865
M2M,cv_first,early:pca,1506,76,0.7567721751932278,0.13917489648935757,0.7750782112624218,-0.018499893280120232,-0.06340886666604312,0.022098225552424754,0.195
M2M,cv_first,inter:plain,1506,76,0.7169212366580788,0.11622505810491378,0.7750782112624218,-0.05890061036796485,-0.11645321273486692,-0.007932960249547576,0.0145
M2M,cv_first,inter:gated,1506,76,0.7160747147589253,0.11707039311394167,0.7750782112624218,-0.05942095617435661,-0.126298465371592,0.004403986215486871,0.03
M2M,cv_first,inter:moddrop,1506,76,0.7178965771071034,0.12709083817875247,0.7750782112624218,-0.05772051557329531,-0.1155274953101046,-0.006923192329632222,0.01
M2M,cv_first,inter:lowrank,1506,76,0.702741994847258,0.10286581873069411,0.7750782112624218,-0.0727767781131935,-0.13020474348021255,-0.020209551735163853,0.0045
M2M,cv_first,inter:bilinear,1506,76,0.7364004416635996,0.1177171107872339,0.7750782112624218,-0.039638743945273745,-0.08750105302182348,0.00799014177964498,0.056
M2M,cv_first,inter:tucker,1506,76,0.7319193963930807,0.12041522622814621,0.7750782112624218,-0.04360651914570475,-0.09569739048666544,0.005200042926254679,0.0395
M2M,cv_first,inter:crossattn,1506,76,0.7183566433566433,0.11807059774406149,0.7750782112624218,-0.05691895414880039,-0.11455500008166006,-0.0024071395033150814,0.0225
M2M,cv_first,late:mean,1506,76,0.7672202797202797,0.16083271083148157,0.7750782112624218,-0.007996764631644254,-0.04998574868375943,0.031293960629855525,0.348
