direction,outcome,scaler,arch,n,ev,auc,cross,gain,lo,hi
M2I,cv_first,robust,ehr_only,3083,288,0.7534156976744186,True,-0.008614599000300389,-0.016038476307994137,-0.0016219267753316685
M2I,cv_first,robust,early,3083,288,0.7474669548797456,True,-0.01458541052113015,-0.028263458251082604,-0.0013934535112920675
M2I,cv_first,robust,late_mean,3083,288,0.7089060325978931,True,-0.053197730354137156,-0.0777934087652074,-0.030824835926622943
M2I,cv_first,robust,late_wsrc,3083,288,0.7518267988471476,True,-0.010307859434505512,-0.021055068667322284,0.00017319982685424942
M2I,cv_first,quantile,ehr_only,3083,288,0.7817003329357981,True,0.01983338617658926,0.00835753306551586,0.030988604135624945
M2I,cv_first,quantile,early,3083,288,0.7659858874975154,True,0.004203567259951922,-0.011819430912030542,0.01965115469618067
M2I,cv_first,quantile,late_mean,3083,288,0.7267485340886505,True,-0.035057566780940706,-0.06061202011328658,-0.010770860579279527
M2I,cv_first,quantile,late_wsrc,3083,288,0.7786032846352614,True,0.01668179935887239,0.002706118518225123,0.02948830821811719
M2I,cv_first,tgtfit,ehr_only,3083,288,0.7628198916716359,True,0.0008104975637553849,-0.0010991901951691696,0.0026850854087115154
M2I,cv_first,tgtfit,early,3083,288,0.7111558338302524,True,-0.05090186349067656,-0.0721546854670375,-0.02864519787838286
M2I,cv_first,tgtfit,late_mean,3083,288,0.6996229626316837,True,-0.062309333923701644,-0.08572270466166311,-0.03952252514581196
M2I,cv_first,tgtfit,late_wsrc,3083,288,0.7392702742993441,True,-0.022793033378646264,-0.03710434992107346,-0.008478817070852001
M2I,cv_first,coral,ehr_only,3083,288,0.7587650318028225,True,-0.0032781899791097125,-0.00858941568546778,0.0015091586953521075
M2I,cv_first,coral,early,3083,288,0.6964035480023852,True,-0.06563648597724592,-0.09140588579893337,-0.040316565958053295
M2I,cv_first,coral,late_mean,3083,288,0.6950332935798051,True,-0.06690679323010355,-0.09063451323551308,-0.04362473753559296
M2I,cv_first,coral,late_wsrc,3083,288,0.7345383621546413,True,-0.027505807172469112,-0.04279886366446304,-0.01223322689580654
M2M,death_30d,std,ehr_only,1649,152,0.8724796083394859,False,,,
M2M,death_30d,std,early,1649,152,0.8750263685265268,False,0.0026577618045051754,-0.013393005407923608,0.017961607288513814
M2M,death_30d,std,late_mean,1649,152,0.8678563266884647,False,-0.004667337084084341,-0.028497845431365885,0.01781432155377417
M2M,death_30d,std,late_wsrc,1649,152,0.8841718524768836,False,0.011664851910901938,-0.0013352682126408248,0.024532546650139233
M2M,death_30d,blockstd,ehr_only,1649,152,0.8650502759905777,False,-0.007669397487030297,-0.01931072055800178,0.004784653278498172
M2M,death_30d,blockstd,early,1649,152,0.8803659951481911,False,0.007855575607719751,-0.00786827155091882,0.024204874160280863
M2M,death_30d,blockstd,late_mean,1649,152,0.8661995042717012,False,-0.006389509747449391,-0.03202439732580666,0.018937809699532463
M2M,death_30d,blockstd,late_wsrc,1649,152,0.8756789895580636,False,0.003047236899962505,-0.013822578397920329,0.019819008275853384
M2M,death_30d,robust,ehr_only,1649,152,0.8693483458144359,False,-0.003223156054073498,-0.007952313916787971,0.0016661046736389294
M2M,death_30d,robust,early,1649,152,0.879218964244278,False,0.006916777042012206,-0.0031258459419442465,0.017326975931085963
M2M,death_30d,robust,late_mean,1649,152,0.8648788805681538,False,-0.007524579834892229,-0.030853241363840416,0.015870704360226393
M2M,death_30d,robust,late_wsrc,1649,152,0.8811416693035192,False,0.008661287894982933,-0.0029442624280352878,0.019818053907391678
M2M,death_30d,quantile,ehr_only,1649,152,0.8777928664346236,False,0.005332494770429775,-0.00660439071725826,0.01748624564146869
M2M,death_30d,quantile,early,1649,152,0.8854375417501671,False,0.013010269220396104,-0.00198121096024135,0.030333372603316738
M2M,death_30d,quantile,late_mean,1649,152,0.8684144604999473,False,-0.003986957973635934,-0.02851245999670167,0.022950646817994403
M2M,death_30d,quantile,late_wsrc,1649,152,0.8861209260626516,False,0.013657575452313244,-0.0009634316094505129,0.030261489114061697
