outcome,stage,method,mean,sd,vs_late,value,leaf,depth,na,nb,nc,mfeat,k,reg,ntree,lo,hi,boot,boot_lo,boot_hi,sig,boot2,sig2,slope,slope_platt,vs_late2,vs_per_outcome
death_30d,E,final,0.9035896049084977,0.0036552530920432925,0.01887856433536672,,10.0,-1.0,20.0,8.0,16.0,0.5,10.0,0.1,1200.0,0.8946127110228401,0.9069327209533268,0.020140552234524902,0.008506974783454302,0.032704317837937064,1.0,0.023058235468733628,1.0,1.843470233940494,0.9648965642263609,0.021831110795857644,
composite_30d,ref,ehr,0.8358645669189843,,-0.014789429078734262,,,,,,,,,,,,,,,,,,,,,,
composite_30d,ref,ecg,0.7339836235148539,,-0.1166703724828646,,,,,,,,,,,,,,,,,,,,,,
composite_30d,ref,ctpa,0.7373156356441513,,-0.11333836035356726,,,,,,,,,,,,,,,,,,,,,,
composite_30d,ref,late_2mod,0.8462859665574257,,-0.004368029440292798,,,,,,,,,,,,,,,,,,,,,,
composite_30d,ref,late_3mod,0.8506539959977185,,0.0,,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ehr,0.849508737670105,0.0030901384800595465,-0.0011452583276134742,14.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ehr,0.8490859523786508,0.005459018059047983,-0.001568043619067705,20.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ehr,0.8464493447150228,0.003996860469479993,-0.004204651282695759,28.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ehr,0.8415167422330926,0.006277391083895996,-0.00913725376462593,38.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ecg,0.8519097843214972,0.003568227140326586,0.001255788323778706,4.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ecg,0.849508737670105,0.0030901384800595465,-0.0011452583276134742,8.0,,,,,,,,,,,,,,,,,,,,,
composite_30d,A,n_ecg,0.847107368773826,0.0033190686389466986,-0.00354662722389254,16.0,,,,,,,,,,,,,,,,,,,,,
