direction,outcome,config,drop,wd,mode,params,auc,src_auc,overfit,ehr_ref,late_ref,early_ref,gain,lo,hi,vs_late,vs_early,sig
I2M,death_30d,linear_wd,0.0,0.1,linear,67,0.8568496642407623,0.8483662636233436,-0.008483400617418702,0.8571045599971874,0.8627364377878565,0.8556850543191648,-0.0001298466754875407,-0.02161442404078904,0.021055910676317863,-0.005886773547094215,0.0011646099215975037,0
I2M,composite_30d,drop80,0.8,0.0001,mlp,3905,0.8347574799629592,0.8017563187445756,-0.03300116121838359,0.8215154708305392,0.8316233994316184,0.8337803748762653,0.01317906889453429,0.006575005505845374,0.02020062344385803,0.0031340805313407882,0.000977105086693908,1
I2M,composite_30d,drop90,0.9,0.0001,mlp,3905,0.7399671105150556,0.6652055473883703,-0.07476156312668525,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.08186845232075286,-0.1107077798223062,-0.053824665960451094,-0.09165628891656286,-0.09381326436120974,1
I2M,composite_30d,drop93,0.93,0.0001,mlp,3905,0.5643835616438355,0.5663515117164668,0.001967950072631286,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.2574556534315439,-0.302279925608518,-0.21219496110682803,-0.26723983778778293,-0.2693968132324298,1
I2M,composite_30d,drop95,0.95,0.0001,mlp,3905,0.4879841619567647,0.49314865654722895,0.0051644945904642525,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.3335346867889446,-0.38496116274015446,-0.2839404837155576,-0.34363923747485375,-0.34579621291950063,1
I2M,composite_30d,drop97,0.97,0.0001,mlp,3905,0.634891592425839,0.5758267061053154,-0.059064886320523646,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.18702386829650422,-0.2305262672951016,-0.14530098928909202,-0.1967318070057794,-0.1988887824504263,1
I2M,composite_30d,wd1e0,0.5,1.0,mlp,3905,0.5,0.5,0.0,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.3213014783437114,-0.3468647618835187,-0.29443169819205944,-0.33162339943161845,-0.33378037487626533,1
I2M,composite_30d,wd3e1,0.5,0.3,mlp,3905,0.5,0.5,0.0,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.3213014783437114,-0.3468647618835187,-0.29443169819205944,-0.33162339943161845,-0.33378037487626533,1
I2M,composite_30d,identity,0.0,0.0001,identity,1089,0.8084810167001949,0.9594020439611045,0.1509210272609096,0.8215154708305392,0.8316233994316184,0.8337803748762653,-0.012815071306757733,-0.03517581336986488,0.009367080052214,-0.02314238273142355,-0.02529935817607043,0
I2M,composite_30d,id_drop50,0.5,0.0001,identity,1089,0.8462368681546764,0.8197336120016294,-0.02650325615304694,0.8215154708305392,0.8316233994316184,0.8337803748762653,0.02468113992888437,0.012199917901659316,0.037424313107080484,0.01461346872305791,0.01245649327841103,1
I2M,composite_30d,linear,0.0,0.0001,linear,67,0.8238624389309321,0.7946793248197808,-0.029183114111151376,0.8215154708305392,0.8316233994316184,0.8337803748762653,0.0022823086610198376,-0.01094349546546931,0.015276433329112448,-0.007760960500686309,-0.00991793594533319,0
I2M,composite_30d,linear_wd,0.0,0.1,linear,67,0.8330459494843057,0.7926155263111283,-0.040430423173177354,0.8215154708305392,0.8316233994316184,0.8337803748762653,0.011461926378448164,0.0003325205343975873,0.02268982394876205,0.0014225500526872104,-0.0007344253919596699,1
M2I,death_30d,drop80,0.8,0.0001,mlp,3905,0.7804172589859493,0.9233554828956158,0.14293822390966648,0.7719883559346399,0.7955526804776889,0.7832257841242459,0.008492999381767986,-0.0014504223610914857,0.018915500394695296,-0.015135421491739631,-0.002808525138296658,0
M2I,death_30d,drop90,0.9,0.0001,mlp,3905,0.5756731142949936,0.6543745385507858,0.07870142425579219,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.19591502936491276,-0.24090579324320904,-0.15128626276828488,-0.21987956618269533,-0.20755266982925236,1
M2I,death_30d,drop93,0.93,0.0001,mlp,3905,0.4687594837637964,0.4329294554020321,-0.0358300283617643,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.30342384545716083,-0.34996685719630977,-0.258935183851759,-0.3267931967138925,-0.31446630036044954,1
M2I,death_30d,drop95,0.95,0.0001,mlp,3905,0.6183008023596935,0.6329896635376016,0.01468886117790802,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.1536703271832602,-0.1925823720661552,-0.11326341722135741,-0.17725187811799537,-0.1649249817645524,1
M2I,death_30d,drop97,0.97,0.0001,mlp,3905,0.5075058167084618,0.5391616566466266,0.03165583993816479,0.7719883559346399,0.7955526804776889,0.7832257841242459,-0.26398354750332725,-0.31093542146233105,-0.21778044526488016,-0.28804686376922706,-0.2757199674157841,1
