outcome,method,kind,mean,sd,vs_best,members,weights
composite_30d,all/superlearner,combo,0.8548823859870737,0.0026692778054815867,0.005295557639405812,ehr+ecg+ctpa+early+pca10+inter+late,[0.   0.   0.   0.05 0.11 0.15 0.7 ]
composite_30d,all/stack,combo,0.8504998555268757,0.0029876017280327585,0.0009130271792078259,ehr+ecg+ctpa+early+pca10+inter+late,
composite_30d,strategies/mean,combo,0.8520305187390771,0.0013141689472975472,0.0024436903914092367,early+inter+late,
composite_30d,strategies/grid,combo,0.8546401652471779,0.0021950808653545175,0.005053336899510041,early+inter+late,[0.05 0.3  0.65]
composite_30d,strategies/superlearner,combo,0.8542604533555896,0.002367869227649655,0.004673625007921789,early+inter+late,[0.05 0.16 0.79]
composite_30d,strategies/stack,combo,0.8500315262914232,0.0032322372279904314,0.00044469794375534555,early+inter+late,
composite_30d,top3/mean,combo,0.8481909709131022,0.0013466340972997045,-0.001395857434565606,late+ehr+early,
composite_30d,top3/grid,combo,0.8499407606483137,0.0015581667703308704,0.0003539323006458428,late+ehr+early,[0.85 0.   0.15]
composite_30d,top3/superlearner,combo,0.8497710450079433,0.0016958831777793817,0.00018421666027546024,late+ehr+early,[0.94 0.   0.06]
composite_30d,top3/stack,combo,0.8453514563857657,0.0020074692606842767,-0.004235371961902157,late+ehr+early,
composite_30d,pruned/grid,combo,0.8495975698438937,0.0017875882193781026,1.0741496225818992e-05,late+ctpa,
cv_first,ehr,base,0.8028018175290024,0.0077107683197669375,,,
cv_first,ecg,base,0.6973653258056928,0.009119814065843657,,,
cv_first,ctpa,base,0.6163008084785004,0.006397877668688652,,,
cv_first,early,base,0.7177630031323897,0.020953496538317382,,,
cv_first,pca10,base,0.755175252881675,0.014944482732366447,,,
cv_first,inter,base,0.6998384281097946,0.020691662352901777,,,
cv_first,late,base,0.8064851613861754,0.008325039513274433,,,
cv_first,all/mean,combo,0.7874184402431625,0.017119840548185442,-0.019066721143012888,ehr+ecg+ctpa+early+pca10+inter+late,
cv_first,all/grid,combo,0.8076613552229196,0.008721452973115136,0.001176193836744166,ehr+ecg+ctpa+early+pca10+inter+late,[0.35 0.1  0.   0.   0.1  0.1  0.35]
cv_first,all/superlearner,combo,0.8064712327749509,0.008308990934628007,-1.3928611224511833e-05,ehr+ecg+ctpa+early+pca10+inter+late,[0. 0. 0. 0. 0. 0. 1.]
cv_first,all/stack,combo,0.7851093860268171,0.0138428907784483,-0.021375775359358307,ehr+ecg+ctpa+early+pca10+inter+late,
cv_first,strategies/mean,combo,0.7729976847552896,0.020711384519057987,-0.033487476630885804,early+inter+late,
cv_first,strategies/grid,combo,0.8069742104025059,0.008627735451630583,0.0004890490163305117,early+inter+late,[0.  0.1 0.9]
cv_first,strategies/superlearner,combo,0.8064851613861754,0.008325039513274433,0.0,early+inter+late,[0. 0. 1.]
cv_first,strategies/stack,combo,0.7837970013247656,0.01567298910589363,-0.022688160061409834,early+inter+late,
cv_first,top3/mean,combo,0.8009462169891913,0.011073100893743987,-0.005538944396984102,late+ehr+pca10,
cv_first,top3/grid,combo,0.8067838527157697,0.008530895462106275,0.00029869132959425837,late+ehr+pca10,[0.9 0.1 0. ]
cv_first,top3/superlearner,combo,0.8064712327749509,0.008308990934628007,-1.3928611224511833e-05,late+ehr+pca10,[1. 0. 0.]
cv_first,top3/stack,combo,0.7898513043370601,0.015534898225853987,-0.016633857049115353,late+ehr+pca10,
cv_first,pruned/grid,combo,0.8066089712637274,0.008146142493887511,0.0001238098775520058,late+ctpa,
