outcome,test,kind,mtry,k,leaf,ntree,maxs,mean,sd,vs_late,lo,hi,brier,slope,brier_platt,slope_platt
death_30d,algo,rot,8.0,10.0,10.0,500.0,,0.8910938661381091,0.002691159503473231,0.011782377092698026,,,,,,
death_30d,algo,rot,8.0,10.0,25.0,500.0,,0.8921247301171558,0.002390569608698459,0.012813241071744641,,,,,,
death_30d,ntree,rf,8.0,10.0,5.0,250.0,,0.9032952252858104,0.003265196337634376,0.02398373624039929,,,,,,
death_30d,ntree,rf,8.0,10.0,5.0,500.0,,0.9034368031713447,0.003451407048882637,0.02412531412593355,,,,,,
death_30d,ntree,rf,8.0,10.0,5.0,1000.0,,0.9038544579336707,0.0030868527327111484,0.024542968888259575,,,,,,
death_30d,ntree,rf,8.0,10.0,5.0,2000.0,,0.9038190634622871,0.0026548976178730997,0.02450757441687601,,,,,,
death_30d,maxsamples,rf,8.0,10.0,5.0,500.0,-1.0,0.9034368031713447,0.003451407048882637,0.02412531412593355,,,,,,
death_30d,maxsamples,rf,8.0,10.0,5.0,500.0,0.8,0.9009866208898168,0.002675594373980324,0.021675131844405726,,,,,,
death_30d,maxsamples,rf,8.0,10.0,5.0,500.0,0.6,0.9006857678830565,0.0014747111652065668,0.021374278837645422,,,,,,
death_30d,maxsamples,rf,8.0,10.0,5.0,500.0,0.4,0.8992133578735002,0.0025999043979427054,0.019901868828089087,,,,,,
death_30d,final,rf,8.0,10.0,5.0,1000.0,,0.9040181573638197,0.0029230862883295014,0.02470666831840862,0.8991611510282094,0.9069567833504407,0.06737297833717339,1.8388237807013206,0.059972375334004305,0.9797845096417588
composite_30d,ref,late,,,,,,0.8425702617531673,0.0015174132806269535,0.0,,,,,,
composite_30d,mtry_k,rf,1.0,1.0,5.0,500.0,,0.8410283619525372,0.0017596314787876883,-0.001541899800630131,,,,,,
composite_30d,mtry_k,rf,1.0,2.0,5.0,500.0,,0.8449385812592449,0.0025845792316288637,0.002368319506077632,,,,,,
composite_30d,mtry_k,rf,1.0,3.0,5.0,500.0,,0.8431963470319633,0.0015200586464957128,0.0006260852787960403,,,,,,
composite_30d,mtry_k,rf,1.0,5.0,5.0,500.0,,0.847468647501447,0.0010145217016197152,0.004898385748279721,,,,,,
composite_30d,mtry_k,rf,1.0,10.0,5.0,500.0,,0.8497974146247348,0.002231908437862479,0.007227152871567499,,,,,,
composite_30d,mtry_k,rf,2.0,1.0,5.0,500.0,,0.8475284584217635,0.0009583866853036741,0.004958196668596204,,,,,,
composite_30d,mtry_k,rf,2.0,2.0,5.0,500.0,,0.8506624220207086,0.002752284290311289,0.008092160267541337,,,,,,
composite_30d,mtry_k,rf,2.0,3.0,5.0,500.0,,0.8503054858833364,0.001436706096654219,0.007735224130169138,,,,,,
composite_30d,mtry_k,rf,2.0,5.0,5.0,500.0,,0.8521306836452505,0.0005462028945117658,0.00956042189208317,,,,,,
composite_30d,mtry_k,rf,2.0,10.0,5.0,500.0,,0.8535378480931248,0.0015361197584956889,0.010967586339957536,,,,,,
composite_30d,mtry_k,rf,3.0,1.0,5.0,500.0,,0.8505286513602162,0.0019304167389130964,0.007958389607048866,,,,,,
composite_30d,mtry_k,rf,3.0,2.0,5.0,500.0,,0.8528985786867322,0.0015589137111383178,0.010328316933564952,,,,,,
composite_30d,mtry_k,rf,3.0,3.0,5.0,500.0,,0.8538954273586725,0.002802552876747888,0.011325165605505227,,,,,,
composite_30d,mtry_k,rf,3.0,5.0,5.0,500.0,,0.8549276480802623,0.0014966443858105713,0.012357386327095043,,,,,,
composite_30d,mtry_k,rf,3.0,10.0,5.0,500.0,,0.85503247797286,0.0024823529180949488,0.012462216219692679,,,,,,
composite_30d,mtry_k,rf,4.0,1.0,5.0,500.0,,0.8521724869766544,0.0019802090410191214,0.009602225223487082,,,,,,
composite_30d,mtry_k,rf,4.0,2.0,5.0,500.0,,0.8557103350697792,0.0021732206528782176,0.013140073316611933,,,,,,
composite_30d,mtry_k,rf,4.0,3.0,5.0,500.0,,0.8561232233584153,0.0030665645255250644,0.013552961605247993,,,,,,
composite_30d,mtry_k,rf,4.0,5.0,5.0,500.0,,0.8557900829635345,0.0006171291557569142,0.013219821210367244,,,,,,
composite_30d,mtry_k,rf,4.0,10.0,5.0,500.0,,0.8563804746285933,0.001981858196473768,0.013810212875426053,,,,,,
composite_30d,mtry_k,rf,6.0,1.0,5.0,500.0,,0.8542787317512381,0.0022925631935548133,0.011708469998070847,,,,,,
composite_30d,mtry_k,rf,6.0,2.0,5.0,500.0,,0.8556042189208309,0.0016827150986127644,0.013033957167663646,,,,,,
composite_30d,mtry_k,rf,6.0,3.0,5.0,500.0,,0.8569522155765643,0.002423453192105951,0.01438195382339702,,,,,,
composite_30d,mtry_k,rf,6.0,5.0,5.0,500.0,,0.8581767316226123,0.0020995579003033594,0.015606469869445028,,,,,,
composite_30d,mtry_k,rf,6.0,10.0,5.0,500.0,,0.8589073252299183,0.001245078125990732,0.016337063476751013,,,,,,
composite_30d,mtry_k,rf,8.0,1.0,5.0,500.0,,0.8539423757154803,0.0021848996069497367,0.011372113962312969,,,,,,
composite_30d,mtry_k,rf,8.0,2.0,5.0,500.0,,0.857250627049971,0.002480377039811518,0.014680365296803721,,,,,,
composite_30d,mtry_k,rf,8.0,3.0,5.0,500.0,,0.8593562286963792,0.002315357005623427,0.016785966943211883,,,,,,
composite_30d,mtry_k,rf,8.0,5.0,5.0,500.0,,0.858522734581002,0.0016733287998117418,0.01595247282783474,,,,,,
composite_30d,mtry_k,rf,8.0,10.0,5.0,500.0,,0.8588713100520934,0.0023973205530018506,0.01630104829892609,,,,,,
composite_30d,algo,rf,8.0,3.0,5.0,500.0,,0.8593562286963792,0.002315357005623427,0.016785966943211883,,,,,,
composite_30d,algo,rf,8.0,3.0,10.0,500.0,,0.8575123802173774,0.0019665417350972513,0.014942118464210119,,,,,,
composite_30d,algo,rf,8.0,3.0,25.0,500.0,,0.8532863849765258,0.0016125164554866777,0.010716123223358465,,,,,,
composite_30d,algo,extra,8.0,3.0,5.0,500.0,,0.8525467875747637,0.0022377048537585635,0.00997652582159636,,,,,,
composite_30d,algo,extra,8.0,3.0,10.0,500.0,,0.851152485690398,0.002944993922076501,0.008582223937230737,,,,,,
composite_30d,algo,extra,8.0,3.0,25.0,500.0,,0.8452524278088622,0.001964625788202373,0.0026821660556949345,,,,,,
composite_30d,algo,rot,8.0,3.0,5.0,500.0,,0.8445964370699081,0.0006418994307358882,0.0020261753167407637,,,,,,
composite_30d,algo,rot,8.0,3.0,10.0,500.0,,0.8482404013119815,0.00170072050997187,0.005670139558814236,,,,,,
composite_30d,algo,rot,8.0,3.0,25.0,500.0,,0.8492501125474305,0.0020406990068655476,0.0066798507942632535,,,,,,
composite_30d,ntree,rf,8.0,3.0,5.0,250.0,,0.8578185092288892,0.0018220466483740607,0.015248247475721954,,,,,,
composite_30d,ntree,rf,8.0,3.0,5.0,500.0,,0.8593562286963792,0.002315357005623427,0.016785966943211883,,,,,,
composite_30d,ntree,rf,8.0,3.0,5.0,1000.0,,0.8598173515981735,0.002170377746983932,0.017247089845006225,,,,,,
composite_30d,ntree,rf,8.0,3.0,5.0,2000.0,,0.8595761785323814,0.001945426853406445,0.017005916779214147,,,,,,
composite_30d,maxsamples,rf,8.0,3.0,5.0,500.0,-1.0,0.8593562286963792,0.002315357005623427,0.016785966943211883,,,,,,
composite_30d,maxsamples,rf,8.0,3.0,5.0,500.0,0.8,0.8577490513859413,0.0033770571084106465,0.01517878963277397,,,,,,
composite_30d,maxsamples,rf,8.0,3.0,5.0,500.0,0.6,0.8564216348318219,0.0021749062608579697,0.013851373078654583,,,,,,
composite_30d,maxsamples,rf,8.0,3.0,5.0,500.0,0.4,0.8538182519776191,0.002027980573832498,0.011247990224451776,,,,,,
composite_30d,final,rf,8.0,3.0,5.0,1000.0,,0.8591295260145347,0.0025578866063692566,0.016559264261367446,0.8546691105537334,0.8627660942825904,0.09819105185147126,1.4803771436904072,0.08961615003315791,0.9804206848581991
cv_first,ref,late,,,,,,0.775011119347665,0.0175822226787232,0.0,,,,,,
cv_first,mtry_k,rf,1.0,1.0,5.0,500.0,,0.7760118606375092,0.01957465962074149,0.0010007412898441759,,,,,,
cv_first,mtry_k,rf,1.0,2.0,5.0,500.0,,0.7744625648628614,0.01664590469992099,-0.0005485544848036206,,,,,,
cv_first,mtry_k,rf,1.0,3.0,5.0,500.0,,0.7781875463306152,0.010372347656031107,0.0031764269829501757,,,,,,
cv_first,mtry_k,rf,1.0,5.0,5.0,500.0,,0.7819051148999259,0.014256979607593624,0.00689399555226089,,,,,,
cv_first,mtry_k,rf,1.0,10.0,5.0,500.0,,0.7927965159377316,0.008673845008359493,0.017785396590066616,,,,,,
cv_first,mtry_k,rf,2.0,1.0,5.0,500.0,,0.7898128243143068,0.013144025111062189,0.014801704966641793,,,,,,
cv_first,mtry_k,rf,2.0,2.0,5.0,500.0,,0.7896312083024462,0.014033424823433808,0.014620088954781174,,,,,,
cv_first,mtry_k,rf,2.0,3.0,5.0,500.0,,0.7915845070422535,0.00964090654988959,0.016573387694588493,,,,,,
cv_first,mtry_k,rf,2.0,5.0,5.0,500.0,,0.793358042994811,0.012866218569932378,0.018346923647146074,,,,,,
cv_first,mtry_k,rf,2.0,10.0,5.0,500.0,,0.8000555967383247,0.005767854582914087,0.025044477390659736,,,,,,
cv_first,mtry_k,rf,3.0,1.0,5.0,500.0,,0.7937490733876945,0.01682582085609666,0.018737954040029536,,,,,,
cv_first,mtry_k,rf,3.0,2.0,5.0,500.0,,0.7979299481097109,0.01027202422770421,0.022918828762045873,,,,,,
cv_first,mtry_k,rf,3.0,3.0,5.0,500.0,,0.7942642698295034,0.008924250689843878,0.0192531504818384,,,,,,
cv_first,mtry_k,rf,3.0,5.0,5.0,500.0,,0.7961489992587101,0.006877784440327077,0.0211378799110451,,,,,,
cv_first,mtry_k,rf,3.0,10.0,5.0,500.0,,0.8045070422535211,0.010262082981557497,0.02949592290585612,,,,,,
cv_first,mtry_k,rf,4.0,1.0,5.0,500.0,,0.7995311341734619,0.011258727689787853,0.02452001482579691,,,,,,
cv_first,mtry_k,rf,4.0,2.0,5.0,500.0,,0.7988380281690141,0.009683667399525956,0.02382690882134908,,,,,,
cv_first,mtry_k,rf,4.0,3.0,5.0,500.0,,0.7967939214232764,0.012854856478370157,0.02178280207561145,,,,,,
cv_first,mtry_k,rf,4.0,5.0,5.0,500.0,,0.8014566345441068,0.010869982675440095,0.026445515196441782,,,,,,
cv_first,mtry_k,rf,4.0,10.0,5.0,500.0,,0.8051371386212007,0.009262308332633725,0.030126019273535753,,,,,,
cv_first,mtry_k,rf,6.0,1.0,5.0,500.0,,0.8019477390659748,0.01141801333635916,0.02693661971830985,,,,,,
cv_first,mtry_k,rf,6.0,2.0,5.0,500.0,,0.8014899925871015,0.00919295706085759,0.02647887323943654,,,,,,
cv_first,mtry_k,rf,6.0,3.0,5.0,500.0,,0.8019180874722016,0.008039652761188638,0.026906968124536634,,,,,,
cv_first,mtry_k,rf,6.0,5.0,5.0,500.0,,0.8015511489992587,0.010207663103444274,0.026540029651593744,,,,,,
cv_first,mtry_k,rf,6.0,10.0,5.0,500.0,,0.8057857672349888,0.005395245802320691,0.03077464788732387,,,,,,
cv_first,mtry_k,rf,8.0,1.0,5.0,500.0,,0.802979985174203,0.01312416490534698,0.027968865826538014,,,,,,
cv_first,mtry_k,rf,8.0,2.0,5.0,500.0,,0.8014918458117124,0.00881776412301012,0.02648072646404742,,,,,,
cv_first,mtry_k,rf,8.0,3.0,5.0,500.0,,0.8011675315048183,0.008437121792738141,0.026156412157153364,,,,,,
cv_first,mtry_k,rf,8.0,5.0,5.0,500.0,,0.8057913269088214,0.011630935323468415,0.030780207561156403,,,,,,
cv_first,mtry_k,rf,8.0,10.0,5.0,500.0,,0.809175315048184,0.004079506833803203,0.034164195700518984,,,,,,
cv_first,algo,rf,8.0,10.0,5.0,500.0,,0.809175315048184,0.004079506833803203,0.034164195700518984,,,,,,
cv_first,algo,rf,8.0,10.0,10.0,500.0,,0.8149203113417347,0.006482530285040952,0.039909191994069726,,,,,,
cv_first,algo,rf,8.0,10.0,25.0,500.0,,0.8185155670867308,0.005247679633233954,0.04350444773906581,,,,,,
cv_first,algo,extra,8.0,10.0,5.0,500.0,,0.8094162342475908,0.009568792877973518,0.034405114899925815,,,,,,
cv_first,algo,extra,8.0,10.0,10.0,500.0,,0.8199036323202371,0.007566066090488342,0.04489251297257213,,,,,,
cv_first,algo,extra,8.0,10.0,25.0,500.0,,0.8241567828020756,0.006823689660486056,0.049145663454410626,,,,,,
cv_first,algo,rot,8.0,10.0,5.0,500.0,,0.7893884358784284,0.018764232533256892,0.014377316530763462,,,,,,
cv_first,algo,rot,8.0,10.0,10.0,500.0,,0.7963528539659006,0.012539287685230145,0.02134173461823563,,,,,,
cv_first,algo,rot,8.0,10.0,25.0,500.0,,0.8077742772424019,0.010649488751349585,0.03276315789473694,,,,,,
cv_first,ntree,extra,8.0,10.0,25.0,250.0,,0.8231764269829502,0.007013027142334127,0.04816530763528526,,,,,,
cv_first,ntree,extra,8.0,10.0,25.0,500.0,,0.8241567828020756,0.006823689660486056,0.049145663454410626,,,,,,
cv_first,ntree,extra,8.0,10.0,25.0,1000.0,,0.8235174203113418,0.006140731127595201,0.04850630096367681,,,,,,
cv_first,ntree,extra,8.0,10.0,25.0,2000.0,,0.8232338769458858,0.00620167639832827,0.04822275759822081,,,,,,
cv_first,final,extra,8.0,10.0,25.0,1000.0,,0.8240641215715344,0.005414493118565651,0.049053002223869435,0.8168921423276501,0.8322924388435877,0.14424216923332323,1.77141623211004,0.04490661833666097,0.9665318055024077
