outcome,strategy,draws,n_ehr,n_ecg,n_ctpa,ehr_share,mean_all,sd_all,mean_cc,mean_noct,vs_bar
composite_30d,complete,28+8+8,28,8,8,63.63636363636363,0.8447485362026018,0.005770921837377042,0.8447485362026018,,0.0004485362026017681
composite_30d,complete,20+8+16,20,8,16,45.45454545454545,0.8513255543417666,0.003810269415384907,0.8513255543417666,,0.007025554341766549
composite_30d,nan_ind,28+4+4,28,4,4,77.77777777777777,0.8261466805459458,0.0043809984690241785,0.8454648865859122,0.808988447561769,-0.018153319454054295
composite_30d,nan_ind,28+2+2,28,2,2,87.5,0.8261395016084533,0.004096632024157659,0.8453566123039542,0.8090919910500339,-0.018160498391546764
composite_30d,nan_ind,38+4+4,38,4,4,82.6086956521739,0.8183478789334078,0.00620651210302426,0.8390895937458712,0.7997341987082851,-0.025952121066592282
composite_30d,nan_ind,20+4+4,20,4,4,71.42857142857143,0.8307955376714744,0.0032397449248879923,0.8498615958211282,0.8150380056175317,-0.013504462328525646
composite_30d,nan_ind,28+4+2,28,4,2,82.3529411764706,0.8265038945735897,0.004454396365061831,0.8455583376030781,0.8094434835044512,-0.017796105426410302
composite_30d,nan_ind,28+2+4,28,2,4,82.3529411764706,0.824965374004077,0.004298928051265871,0.8443892331538428,0.8078042432994271,-0.01933462599592306
composite_30d,nan_ind,28+8+8,28,8,8,63.63636363636363,0.8244047980057406,0.004851398967658206,0.844324784176487,0.8069794658584192,-0.019895201994259426
composite_30d,nan_ind,20+8+16,20,8,16,45.45454545454545,0.828410768901338,0.0037544401943230637,0.8499692256133127,0.8107673326245299,-0.015889231098662027
composite_30d,masked,28+4+4,28,4,4,77.77777777777777,0.8197262349319671,0.004303771249564296,0.8462924114551612,0.8100242791627658,-0.024573765068032993
composite_30d,masked,28+2+2,28,2,2,87.5,0.8190994394240019,0.004318765957836488,0.8457014143328081,0.8098445657520987,-0.025200560575998177
composite_30d,masked,38+4+4,38,4,4,82.6086956521739,0.8152105594744027,0.005572666429765464,0.8422031238419324,0.8010009203865623,-0.029089440525597365
composite_30d,masked,20+4+4,20,4,4,71.42857142857143,0.8230431516030692,0.003282097140608955,0.8501316370362494,0.8185521367250107,-0.021256848396930872
composite_30d,masked,28+4+2,28,4,2,82.3529411764706,0.8198605305729908,0.003277099739034091,0.8465173383861332,0.8100242791627658,-0.024439469427009253
composite_30d,masked,28+2+4,28,2,4,82.3529411764706,0.8189589550437606,0.004862969965120805,0.845056280069476,0.8098445657520987,-0.025341044956239456
