direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,sig
I2I,death_30d,inter:tucker,3300,246,0.7567178324042572,0.21862928346513877,0.7797350935198939,-0.022718589887435896,-0.05212902177532203,0.004588118106554016,0
I2I,death_30d,inter:crossattn,3300,246,0.75385872719238,0.23240531544442042,0.7797350935198939,-0.02529292733929326,-0.054749651099391304,0.003331930931644584,0
I2I,death_30d,late:mean,3300,246,0.793928128377551,0.2354432339473386,0.7797350935198939,0.014710768760608218,-0.00626247369410316,0.03724143319846876,0
I2I,death_30d,late:wsrc,3300,246,0.7979465821180804,0.2446128641297137,0.7797350935198939,0.01857795581674934,0.0035300831242495337,0.034725572009644635,1
I2I,death_30d,uni:ehr_only,3300,246,0.7797350935198939,0.23792001229213539,0.7797350935198939,0.0,0.0,0.0,0
I2I,death_30d,uni:ctpa_only,3300,246,0.6986099797147283,0.1510209270545581,0.7797350935198939,-0.08017652028437244,-0.12052802340632679,-0.03868390847765577,1
I2I,composite_30d,early:plain,3300,505,0.7586418462955418,0.34330946805745066,0.7587452841885263,3.277581027663973e-05,-0.011337366123357794,0.01056855313950916,0
I2I,composite_30d,early:blockstd,3300,505,0.7631683168316832,0.3377301455812577,0.7587452841885263,0.004604044760232957,-0.00769786982712897,0.016886335604820158,0
I2I,composite_30d,inter:plain,3300,505,0.7279781788554527,0.3031735326802071,0.7587452841885263,-0.03079199809842254,-0.049375311123776494,-0.012238611847466102,1
I2I,composite_30d,inter:gated,3300,505,0.7292853220921377,0.29758626648760494,0.7587452841885263,-0.029516299882092006,-0.0476786081019837,-0.011487350910535394,1
I2I,composite_30d,inter:moddrop,3300,505,0.7296926973556033,0.3039118799306749,0.7587452841885263,-0.029057270826308955,-0.04686548023371562,-0.011269560606867589,1
I2I,composite_30d,inter:lowrank,3300,505,0.7191887918666642,0.29802328103182474,0.7587452841885263,-0.03946824863287302,-0.057176005643317415,-0.0224144610531471,1
I2I,composite_30d,inter:bilinear,3300,505,0.7263642643334102,0.29957188143009755,0.7587452841885263,-0.03232720902535826,-0.05042115349627348,-0.014920356618739944,1
I2I,composite_30d,inter:tucker,3300,505,0.7278442763775482,0.2949130694569815,0.7587452841885263,-0.030952982062050702,-0.048445210339491875,-0.01441271533956532,1
I2I,composite_30d,inter:crossattn,3300,505,0.7237549372110734,0.30304194836677023,0.7587452841885263,-0.034826010524680796,-0.05403192695616813,-0.016690170355904168,1
I2I,composite_30d,late:mean,3300,505,0.744347579659576,0.3247195006480831,0.7587452841885263,-0.014221526074880024,-0.03117204416441051,0.003275746638720919,0
I2I,composite_30d,late:wsrc,3300,505,0.7643567898829239,0.34753295278010243,0.7587452841885263,0.005727201907421207,-0.0023294002108153883,0.014082346569528425,0
I2I,composite_30d,uni:ehr_only,3300,505,0.7587452841885263,0.3487114260457564,0.7587452841885263,0.0,0.0,0.0,0
I2I,composite_30d,uni:ctpa_only,3300,505,0.6366283497759435,0.23099663811108037,0.7587452841885263,-0.12182039716655983,-0.15349405320023607,-0.08947739651570771,1
