outcome,method,na,nb,mean,sd,vs_late,vs_ehr
death_30d_inhosp,block,14.0,16.0,0.9081942186798668,0.0037924032219239503,0.03624521033932737,0.037927772804617454
death_30d_inhosp,block_rot,4.0,4.0,0.9002005888334657,0.0037021264190727626,0.028251580492926198,0.02993414295821628
death_30d_inhosp,block_rot,4.0,8.0,0.8852332637654404,0.0028247982783644217,0.01328425542490097,0.014966817890191053
death_30d_inhosp,block_rot,8.0,8.0,0.9029517749956255,0.0030027249410140835,0.031002766655086056,0.03268532912037614
death_30d_inhosp,block_rot,8.0,16.0,0.8960569459272352,0.002231091016234626,0.024107937586695716,0.0257905000519858
death_30d_inhosp,block_rot,14.0,8.0,0.9072911885458957,0.002681710382537603,0.03534218020535629,0.03702474267064637
death_30d_inhosp,block_rot,14.0,16.0,0.9031980098341783,0.003708044662136924,0.03124900149363885,0.03293156395892893
composite_30d,late_wsrc,,,0.8420562581149843,,0.0,0.006891470555835277
composite_30d,ehr,,,0.835164787559149,,-0.006891470555835277,0.0
composite_30d,prop_rf,27.0,,0.8311776304307734,0.0019644401951666663,-0.010878627684210884,-0.003987157128375607
composite_30d,prop_rf,47.0,,0.8364087241419004,0.003631748044195271,-0.005647533973083929,0.0012439365827513482
composite_30d,prop_rf,78.0,,0.8397713137084288,0.003975465305920707,-0.002284944406555467,0.00460652614927981
composite_30d,prop_rf,125.0,,0.8411880398901375,0.0038965332394185967,-0.0008682182248468395,0.006023252330988438
composite_30d,prop_rf,187.0,,0.8426118212345546,0.0031890629755572607,0.0005555631195702793,0.007447033675405557
composite_30d,block,4.0,4.0,0.8354885823950173,0.0011428728476489364,-0.00656767571996697,0.0003237948358683074
composite_30d,block,4.0,8.0,0.8273531133690382,0.0020796658273054052,-0.01470314474594614,-0.007811674190110862
composite_30d,block,8.0,8.0,0.8423837043069913,0.0023830363603179064,0.0003274461920069749,0.007218916747842252
composite_30d,block,8.0,16.0,0.8385775059133402,0.0020063418456223205,-0.003478752201644064,0.003412718354191213
composite_30d,block,14.0,8.0,0.8490862326545112,0.0029474635546345544,0.0070299745395269175,0.013921445095362195
composite_30d,block,14.0,16.0,0.8465198862757282,0.0011554826095280034,0.00446362816074386,0.011355098716579137
composite_30d,block_rot,4.0,4.0,0.8345016022645835,0.0022141886918058806,-0.0075546558504008265,-0.0006631852945655492
composite_30d,block_rot,4.0,8.0,0.8290458573198551,0.0008894647321979327,-0.013010400795129162,-0.006118930239293885
composite_30d,block_rot,8.0,8.0,0.8431438052577054,0.002113393569409658,0.0010875471427210792,0.007979017698556357
composite_30d,block_rot,8.0,16.0,0.8373707017658948,0.0026213848578369083,-0.004685556349089515,0.0022059142067457627
composite_30d,block_rot,14.0,8.0,0.8496456946797885,0.0019936363922208804,0.007589436564804153,0.01448090712063943
composite_30d,block_rot,14.0,16.0,0.847909010680526,0.0026993686273819786,0.005852752565541741,0.012744223121377019
cv_first,late_wsrc,,,0.8220790492985467,,0.0,0.005468540882681783
cv_first,ehr,,,0.8166105084158649,,-0.005468540882681783,0.0
