outcome,pair,method,param,k,nfeat,n_selected,mean,sd,vs_late
death_30d_inhosp,ehr+ecg,coop,5.0,,292,,0.8558367403936415,0.009536589174424653,-0.01728291142677607
death_30d_inhosp,ehr+ecg,spca,0.05,5.0,292,147.4,0.7408539502504544,0.005446713855799294,-0.1322657015699632
death_30d_inhosp,ehr+ecg,spca,0.05,10.0,292,147.4,0.844526851772835,0.005849237919048178,-0.02859280004758258
death_30d_inhosp,ehr+ecg,spca,0.05,20.0,292,147.4,0.8523352909383833,0.010421401386359563,-0.02078436088203428
death_30d_inhosp,ehr+ecg,spca,0.1,5.0,292,165.93333333333337,0.7361099258592646,0.005840239365639207,-0.13700972596115302
death_30d_inhosp,ehr+ecg,spca,0.1,10.0,292,165.93333333333337,0.836214141821633,0.007307527558678313,-0.036905509998784614
death_30d_inhosp,ehr+ecg,spca,0.1,20.0,292,165.93333333333337,0.843819579670905,0.006240977655157992,-0.02930007214951258
death_30d_inhosp,ehr+ecg,spca,0.25,5.0,292,199.73333333333335,0.7317667320925686,0.00534789884829835,-0.14135291972784902
death_30d_inhosp,ehr+ecg,spca,0.25,10.0,292,199.73333333333335,0.8088593912029315,0.01065668216703286,-0.06426026061748613
death_30d_inhosp,ehr+ecg,spca,0.25,20.0,292,199.73333333333335,0.8298848969606692,0.008396147305397906,-0.04323475485974837
death_30d_inhosp,ehr+ecg,spca,0.5,5.0,292,238.53333333333333,0.7312598753028858,0.0054724264257774834,-0.1418597765175318
death_30d_inhosp,ehr+ecg,spca,0.5,10.0,292,238.53333333333333,0.756887175230219,0.01379344790790429,-0.11623247659019864
death_30d_inhosp,ehr+ecg,spca,0.5,20.0,292,238.53333333333333,0.8213381536448433,0.005546942112505089,-0.051781498175574314
death_30d_inhosp,ehr+ecg,lol,5.0,5.0,292,,0.8277048955642274,0.007347761741307498,-0.04541475625619018
death_30d_inhosp,ehr+ecg,lol,10.0,10.0,292,,0.8488584085214005,0.004908704593325867,-0.024261243299017132
death_30d_inhosp,ehr+ecg,lol,20.0,20.0,292,,0.84969498082478,0.005844588740105115,-0.02342467099563761
death_30d_inhosp,ehr+ecg,lol,30.0,30.0,292,,0.8399625546616601,0.006273304659835878,-0.033157097158757476
death_30d_inhosp,ecg+ctpa,late_wsrc,,,310,,0.78457099486161,0.006944454600742401,0.0
death_30d_inhosp,ecg+ctpa,early,,,310,,0.7718614315601103,0.010863827086848833,-0.012709563301499638
death_30d_inhosp,ecg+ctpa,coop,0.0,,310,,0.7718614315601103,0.010863827086848833,-0.012709563301499638
death_30d_inhosp,ecg+ctpa,coop,0.2,,310,,0.7772506639565343,0.011181001852359302,-0.007320330905075667
death_30d_inhosp,ecg+ctpa,coop,0.5,,310,,0.7802530146341967,0.011579038662135529,-0.004317980227413254
death_30d_inhosp,ecg+ctpa,coop,1.0,,310,,0.7832359702816417,0.01253192270067701,-0.001335024579968258
death_30d_inhosp,ecg+ctpa,coop,2.0,,310,,0.7879657716506722,0.013795820537360021,0.0033947767890621927
death_30d_inhosp,ecg+ctpa,coop,5.0,,310,,0.7858775733972593,0.013295267646365624,0.0013065785356493054
death_30d_inhosp,ecg+ctpa,spca,0.05,5.0,310,139.36666666666667,0.7191431534250331,0.006018328400433201,-0.06542784143657687
death_30d_inhosp,ecg+ctpa,spca,0.05,10.0,310,139.36666666666667,0.7347639107621728,0.009612432650735848,-0.04980708409943713
death_30d_inhosp,ecg+ctpa,spca,0.05,20.0,310,139.36666666666667,0.7729721202905634,0.00868297378379831,-0.01159887457104658
death_30d_inhosp,ecg+ctpa,spca,0.1,5.0,310,160.4333333333333,0.7202292751172105,0.004607857983295861,-0.0643417197443995
death_30d_inhosp,ecg+ctpa,spca,0.1,10.0,310,160.4333333333333,0.7275114624628585,0.014972183285669228,-0.0570595323987515
death_30d_inhosp,ecg+ctpa,spca,0.1,20.0,310,160.4333333333333,0.7621186613808745,0.014666739378206724,-0.022452333480735498
death_30d_inhosp,ecg+ctpa,spca,0.25,5.0,310,200.16666666666666,0.7182121919745951,0.005706759977410902,-0.0663588028870149
death_30d_inhosp,ecg+ctpa,spca,0.25,10.0,310,200.16666666666666,0.7152499243593821,0.011435628763957765,-0.06932107050222791
death_30d_inhosp,ecg+ctpa,spca,0.25,20.0,310,200.16666666666666,0.7505036242846467,0.008190887582798949,-0.034067370576963296
death_30d_inhosp,ecg+ctpa,spca,0.5,5.0,310,248.13333333333333,0.7182302940027981,0.005193907494379533,-0.06634070085881183
death_30d_inhosp,ecg+ctpa,spca,0.5,10.0,310,248.13333333333333,0.7084539057711852,0.010032526130663045,-0.0761170890904248
death_30d_inhosp,ecg+ctpa,spca,0.5,20.0,310,248.13333333333333,0.7481257935799864,0.008160637635249742,-0.03644520128162354
death_30d_inhosp,ecg+ctpa,lol,5.0,5.0,310,,0.7570940555525385,0.007619356385643986,-0.02747693930907147
death_30d_inhosp,ecg+ctpa,lol,10.0,10.0,310,,0.7762964284698356,0.008796116647038782,-0.008274566391774374
death_30d_inhosp,ecg+ctpa,lol,20.0,20.0,310,,0.7798276169714272,0.012061387155124703,-0.004743377890182754
death_30d_inhosp,ecg+ctpa,lol,30.0,30.0,310,,0.7788707954806994,0.008602074099861448,-0.005700199380910598
death_30d,ehr+ctpa,late_wsrc,,,74,,0.8809671584621933,0.005980752504221958,0.0
death_30d,ehr+ctpa,early,,,74,,0.8846031647515015,0.004508488266602942,0.003636006289308158
death_30d,ehr+ctpa,coop,0.0,,74,,0.8846031647515015,0.004508488266602942,0.003636006289308158
death_30d,ehr+ctpa,coop,0.2,,74,,0.8863210502671773,0.004491231972173238,0.005353891804984023
death_30d,ehr+ctpa,coop,0.5,,74,,0.8868271799782476,0.004452987901976414,0.005860021516054248
death_30d,ehr+ctpa,coop,1.0,,74,,0.8863107060103088,0.006458986134854561,0.0053435475481155015
death_30d,ehr+ctpa,coop,2.0,,74,,0.8874670461531187,0.005346392340141452,0.0064998876909253545
death_30d,ehr+ctpa,coop,5.0,,74,,0.8885753593890385,0.00413621636435127,0.007608200926845221
death_30d,ehr+ctpa,spca,0.05,5.0,74,39.56666666666666,0.8645626448195962,0.0044081362795221615,-0.016404513642597096
death_30d,ehr+ctpa,spca,0.05,10.0,74,39.56666666666666,0.8725048174681987,0.007213770563658243,-0.008462340993994566
death_30d,ehr+ctpa,spca,0.05,20.0,74,39.56666666666666,0.8740202510994468,0.008432880565180746,-0.006946907362746502
death_30d,ehr+ctpa,spca,0.1,5.0,74,44.46666666666667,0.8659162647183999,0.004497974154585971,-0.015050893743793425
death_30d,ehr+ctpa,spca,0.1,10.0,74,44.46666666666667,0.8707403827966141,0.01030169378866032,-0.010226775665579169
death_30d,ehr+ctpa,spca,0.1,20.0,74,44.46666666666667,0.8756095722797559,0.010704811206878679,-0.005357586182437424
death_30d,ehr+ctpa,spca,0.25,5.0,74,52.73333333333333,0.8474015226746111,0.006123142246252924,-0.033565635787582204
death_30d,ehr+ctpa,spca,0.25,10.0,74,52.73333333333333,0.8775328651818223,0.004702588323343832,-0.003434293280371037
death_30d,ehr+ctpa,spca,0.25,20.0,74,52.73333333333333,0.8671391036553647,0.009989323409375864,-0.013828054806828582
death_30d,ehr+ctpa,spca,0.5,5.0,74,62.03333333333334,0.8411772355416844,0.006659118201926774,-0.03978992292050887
death_30d,ehr+ctpa,spca,0.5,10.0,74,62.03333333333334,0.8771730328178938,0.005741432216134339,-0.003794125644299484
death_30d,ehr+ctpa,spca,0.5,20.0,74,62.03333333333334,0.8649978424835675,0.006403707916689508,-0.01596931597862583
death_30d,ehr+ctpa,lol,5.0,5.0,74,,0.8880936125691586,0.0035646626073711327,0.00712645410696533
death_30d,ehr+ctpa,lol,10.0,10.0,74,,0.876668380857805,0.006122940028912408,-0.0042987776043883485
death_30d,ehr+ctpa,lol,20.0,20.0,74,,0.8748307975126495,0.008630578411222847,-0.00613636094954384
death_30d,ehr+ctpa,lol,30.0,30.0,74,,0.8755223849718637,0.006493099972941816,-0.005444773490329569
death_30d,ehr+ecg,late_wsrc,,,292,,0.8662986327847922,0.005029780287155791,0.0
death_30d,ehr+ecg,early,,,292,,0.8401937922636781,0.009631176634968595,-0.02610484052111417
death_30d,ehr+ecg,coop,0.0,,292,,0.8401937922636781,0.009631176634968595,-0.02610484052111417
death_30d,ehr+ecg,coop,0.2,,292,,0.8375877784082849,0.007830152864551736,-0.028710854376507333
death_30d,ehr+ecg,coop,0.5,,292,,0.8418887726391451,0.007127350790297043,-0.024409860145647166
death_30d,ehr+ecg,coop,1.0,,292,,0.8455018737882442,0.007382796324744186,-0.020796758996548093
death_30d,ehr+ecg,coop,2.0,,292,,0.8492908273041092,0.00816140478995131,-0.017007805480683036
death_30d,ehr+ecg,coop,5.0,,292,,0.8495671667375988,0.00660754030939602,-0.016731466047193444
death_30d,ehr+ecg,spca,0.05,5.0,292,150.76666666666668,0.7047372263205184,0.007658324763580828,-0.16156140646427386
death_30d,ehr+ecg,spca,0.05,10.0,292,150.76666666666668,0.7994558920887123,0.005939311988839287,-0.06684274069607998
death_30d,ehr+ecg,spca,0.05,20.0,292,150.76666666666668,0.8065003310162199,0.0076838439733998955,-0.05979830176857237
death_30d,ehr+ecg,spca,0.1,5.0,292,167.66666666666666,0.7061455230056274,0.0054107189576896005,-0.16015310977916486
death_30d,ehr+ecg,spca,0.1,10.0,292,167.66666666666666,0.7896717028420107,0.010411321262071888,-0.07662692994278153
death_30d,ehr+ecg,spca,0.1,20.0,292,167.66666666666666,0.8031783468104222,0.007951011984753766,-0.06312028597437003
death_30d,ehr+ecg,spca,0.25,5.0,292,197.76666666666665,0.7068843984962405,0.008676338239277492,-0.15941423428855173
death_30d,ehr+ecg,spca,0.25,10.0,292,197.76666666666665,0.7758163096420296,0.00938481708928477,-0.09048232314276261
death_30d,ehr+ecg,spca,0.25,20.0,292,197.76666666666665,0.7962861162339813,0.006706108719164845,-0.07001251655081098
death_30d,ehr+ecg,spca,0.5,5.0,292,231.96666666666667,0.7151731037499408,0.010876448272408058,-0.15112552903485144
